userID,Duration,Page,Order,Language,TaskPage,Answer
5890,7.899999999999977,2,0,Spanish,3,1
5890,7.7999999999999545,2,0,Spanish,4,1
5890,8.600000000000023,2,0,Spanish,5,1
5890,10.100000000000023,4,4,Spanish,2,1
5890,8.799999999999955,6,2,Spanish,2,1
5890,6.0,7,0,Spanish,2,1
5890,10.600000000000023,7,0,Spanish,3,1
5890,2.6000000000000227,7,0,Spanish,4,1
5890,4.199999999999932,7,0,Spanish,5,1
5890,2.6000000000001364,8,3,Spanish,5,1
5890,4.899999999999864,13,3,Spanish,4,1
5890,2.5,13,3,Spanish,5,1
5890,4.599999999999909,14,4,Spanish,4,1
5890,21.600000000000136,16,2,Spanish,1,1
5890,0.900000000000091,16,2,Spanish,2,1
5890,5.0,21,2,Spanish,2,1
5890,4.100000000000136,22,0,Spanish,5,1
5890,19.5,27,0,Spanish,5,1
2128,2.5,3,4,Spanish,2,1
2128,6.7999999999999545,4,0,Spanish,1,1
2128,1.400000000000091,4,0,Spanish,2,1
2128,1.0,4,0,Spanish,4,1
2128,2.2999999999999545,9,0,Spanish,2,1
2128,1.900000000000091,14,0,Spanish,2,1
2128,5.899999999999864,15,2,Spanish,2,1
2128,7.5,18,4,Spanish,4,1
2128,3.699999999999818,23,4,Spanish,4,1
2128,2.099999999999909,24,0,Spanish,3,1
2128,2.599999999999909,26,3,Spanish,5,1
2128,3.799999999999727,29,0,Spanish,5,1
2156,6.2000000000000455,1,0,Spanish,1,1
2156,7.400000000000091,1,0,Spanish,3,1
2156,6.7000000000000455,2,3,Spanish,4,1
2156,2.6000000000001364,2,3,Spanish,3,1
2156,5.2000000000000455,4,2,Spanish,1,1
2156,15.5,7,3,Spanish,5,1
2156,5.100000000000364,11,0,Spanish,5,1
2156,13.199999999999818,16,0,Spanish,1,1
2156,8.700000000000273,22,3,Spanish,3,1
2156,9.5,22,3,Spanish,5,1
2156,8.699999999999818,26,0,Spanish,1,1
2156,3.5,27,3,Spanish,5,1
2156,4.900000000000091,29,2,Spanish,1,1
5492,25.0,2,2,Spanish,1,1
5492,8.799999999999727,3,0,Spanish,2,1
5492,9.5,3,0,Spanish,3,1
5492,11.800000000000011,5,3,Spanish,3,1
5492,12.700000000000017,5,3,Spanish,5,1
5492,35.30000000000001,6,4,Spanish,2,1
5492,1.6999999999999886,6,4,Spanish,4,1
5492,46.39999999999998,7,2,Spanish,2,1
5492,3.6000000000000227,8,0,Spanish,2,1
5492,5.900000000000034,8,0,Spanish,4,1
5492,0.6999999999999318,10,3,Spanish,5,1
5492,5.899999999999977,13,0,Spanish,1,1
5492,0.6000000000000227,13,0,Spanish,3,1
5492,0.6000000000000227,13,0,Spanish,4,1
5492,0.7999999999999545,13,0,Spanish,5,1
5492,9.300000000000068,16,4,Spanish,2,1
5492,0.7000000000000455,18,0,Spanish,1,1
5492,1.2999999999999545,18,0,Spanish,4,1
5492,0.7000000000000455,18,0,Spanish,5,1
5492,0.900000000000091,20,3,Spanish,5,1
5492,4.899999999999864,22,2,Spanish,2,1
5492,11.5,23,0,Spanish,1,1
5492,1.2000000000000455,23,0,Spanish,2,1
5492,3.7999999999999545,23,0,Spanish,5,1
5492,12.5,25,3,Spanish,4,1
5492,1.5,26,4,Spanish,2,1
5492,4.900000000000091,27,2,Spanish,1,1
5492,18.299999999999955,27,2,Spanish,2,1
5492,13.099999999999909,28,0,Spanish,4,1
5492,0.900000000000091,30,3,Spanish,4,1
5492,0.8999999999998636,30,3,Spanish,5,1
2899,4.400000000000006,5,0,Spanish,3,1
2899,11.0,10,0,Spanish,5,1
2899,4.100000000000023,13,2,Spanish,2,1
2899,4.900000000000091,14,3,Spanish,5,1
2899,3.7000000000000455,15,0,Spanish,1,1
2899,3.8999999999999773,18,2,Spanish,1,1
2899,8.100000000000023,18,2,Spanish,2,1
2899,5.2999999999999545,19,3,Spanish,4,1
2899,4.2000000000000455,19,3,Spanish,5,1
2899,3.3999999999999773,22,4,Spanish,4,1
2899,3.2000000000000455,25,0,Spanish,2,1
2899,6.100000000000023,25,0,Spanish,3,1
2899,2.199999999999932,25,0,Spanish,4,1
2899,2.6000000000000227,25,0,Spanish,5,1
2899,6.900000000000091,29,3,Spanish,3,1
2899,5.5,30,0,Spanish,1,1
2899,4.0,30,0,Spanish,5,1
6673,12.199999999999818,1,3,Spanish,3,1
6673,5.600000000000364,1,3,Spanish,5,1
6673,3.599999999999909,3,4,Spanish,2,1
6673,20.800000000000182,3,4,Spanish,4,1
6673,2.100000000000364,4,0,Spanish,5,1
6673,6.799999999999727,8,4,Spanish,2,1
6673,3.900000000000091,8,4,Spanish,4,1
6673,8.599999999999909,9,0,Spanish,1,1
6673,7.900000000000091,9,0,Spanish,2,1
6673,18.800000000000182,9,0,Spanish,3,1
6673,10.899999999999999,10,2,Spanish,1,1
6673,3.9000000000000057,10,2,Spanish,2,1
6673,9.800000000000011,13,4,Spanish,4,1
6673,4.800000000000011,15,2,Spanish,2,1
6673,6.2999999999999545,16,3,Spanish,4,1
6673,0.8000000000000682,19,0,Spanish,1,1
6673,6.699999999999932,19,0,Spanish,2,1
6673,12.700000000000045,19,0,Spanish,3,1
6673,8.700000000000045,19,0,Spanish,4,1
6673,39.39999999999998,20,2,Spanish,2,1
6673,7.600000000000023,24,0,Spanish,3,1
6673,1.5,24,0,Spanish,5,1
6673,2.1000000000000227,25,2,Spanish,1,1
6673,8.5,26,3,Spanish,4,1
6673,5.5,28,4,Spanish,2,1
6673,5.300000000000182,29,0,Spanish,1,1
6673,5.399999999999864,29,0,Spanish,2,1
6673,6.2000000000000455,29,0,Spanish,3,1
6673,7.100000000000136,30,2,Spanish,1,1
6673,11.299999999999955,30,2,Spanish,2,1
7734,21.899999999999977,3,2,Spanish,2,1
7734,8.600000000000023,4,3,Spanish,5,1
7734,10.199999999999932,5,0,Spanish,5,1
7734,12.5,7,4,Spanish,4,1
7734,6.7000000000000455,8,2,Spanish,1,1
7734,2.3999999999999773,12,4,Spanish,2,1
7734,8.899999999999977,12,4,Spanish,4,1
7734,19.40000000000009,14,3,Spanish,3,1
7734,9.299999999999955,14,3,Spanish,4,1
7734,1.400000000000091,14,3,Spanish,5,1
7734,6.2999999999999545,15,0,Spanish,1,1
7734,12.099999999999909,15,0,Spanish,2,1
7734,2.6000000000001364,15,0,Spanish,3,1
7734,10.299999999999955,15,0,Spanish,4,1
7734,7.5,18,2,Spanish,1,1
7734,21.100000000000136,18,2,Spanish,2,1
7734,12.200000000000045,20,0,Spanish,1,1
7734,5.599999999999909,20,0,Spanish,2,1
7734,8.099999999999909,20,0,Spanish,5,1
7734,5.699999999999818,22,4,Spanish,2,1
7734,7.5,22,4,Spanish,4,1
7734,8.299999999999955,23,2,Spanish,2,1
7734,3.300000000000182,24,3,Spanish,5,1
7734,1.5,25,0,Spanish,1,1
7734,12.700000000000045,25,0,Spanish,4,1
7734,5.7000000000000455,27,4,Spanish,2,1
7734,2.7000000000000455,27,4,Spanish,4,1
7734,5.800000000000182,29,3,Spanish,3,1
7734,4.099999999999909,29,3,Spanish,4,1
7734,4.800000000000182,30,0,Spanish,5,1
6515,4.599999999999909,2,0,Spanish,4,1
6515,7.7000000000000455,2,0,Spanish,5,1
6515,4.2000000000000455,4,4,Spanish,4,1
6515,5.400000000000091,6,2,Spanish,1,1
6515,4.300000000000182,7,0,Spanish,5,1
6515,3.2999999999999545,8,3,Spanish,5,1
6515,6.600000000000136,9,4,Spanish,2,1
6515,2.400000000000091,9,4,Spanish,4,1
6515,5.600000000000136,12,0,Spanish,1,1
6515,6.2000000000000455,12,0,Spanish,4,1
6515,9.799999999999955,12,0,Spanish,5,1
6515,3.900000000000091,13,3,Spanish,3,1
6515,4.599999999999909,13,3,Spanish,4,1
6515,4.5,13,3,Spanish,5,1
6515,1.400000000000091,14,4,Spanish,2,1
