MEDIA_ID,MEDIA_NAME,BKID,BKDUR,BKPMIN,X_Coordinate,Y_Coordinate,userID,AOI_TYPE,Page
1,hapii,1883,0.13577999999999998,26,255,13,2591,NOT_AOI,0
1,hapii,1884,0.16527999999999998,26,460,67,2591,NOT_AOI,0
1,hapii,1885,0.03508,27,248,708,2591,NOT_AOI,0
1,hapii,1886,0.28904,28,0,0,2591,NOT_AOI,0
1,hapii,1887,0.13585999999999998,29,0,0,2591,NOT_AOI,0
1,hapii,1888,0.15233,29,467,88,2591,NOT_AOI,0
1,hapii,1889,0.03465,30,0,0,2591,NOT_AOI,0
1,hapii,1890,0.15158,31,519,-148,2591,NOT_AOI,0
1,hapii,1891,0.11755,32,4634,2665,2591,NOT_AOI,0
1,hapii,1892,0.1942,31,460,176,2591,NOT_AOI,0
1,hapii,1893,0.19125999999999999,31,59,146,2591,NOT_AOI,0
1,hapii,1894,0.21155,31,159,440,2591,NOT_AOI,0
1,hapii,1895,0.22809000000000001,31,56,210,2591,NOT_AOI,0
1,hapii,1896,0.21536999999999998,29,63,258,2591,NOT_AOI,0
1,hapii,1897,0.30159,29,0,0,2591,NOT_AOI,0
1,hapii,1898,0.20919000000000001,27,133,568,2591,NOT_AOI,0
1,hapii,1899,0.20706999999999998,26,96,-126,2591,NOT_AOI,0
1,hapii,1900,0.10855,27,27,323,2591,NOT_AOI,0
1,hapii,1901,0.18220999999999998,27,126,381,2591,NOT_AOI,0
1,hapii,1903,0.20395,26,118,357,2591,NOT_AOI,0
1,hapii,1904,0.26750999999999997,26,76,292,2591,NOT_AOI,0
1,hapii,1905,0.24609,26,0,0,2591,NOT_AOI,0
1,hapii,1906,0.12220999999999999,25,441,239,2591,NOT_AOI,0
1,hapii,1907,0.24061999999999997,25,298,81,2591,NOT_AOI,0
1,hapii,1908,0.17597000000000002,26,505,335,2591,NOT_AOI,0
1,hapii,1909,0.12089000000000001,26,396,157,2591,NOT_AOI,1
1,hapii,1910,0.1705,26,767,4,2591,NOT_AOI,1
1,hapii,1911,0.17182,24,335,77,2591,NOT_AOI,1
1,hapii,1912,0.20704,23,377,156,2591,NOT_AOI,1
1,hapii,1913,0.22687,23,346,272,2591,NOT_AOI,1
1,hapii,1914,0.23981999999999998,24,747,447,2591,RESULT3,1
1,hapii,1915,0.23776999999999998,25,382,197,2591,NOT_AOI,1
1,hapii,1916,0.2327,25,739,528,2591,RESULT3,1
1,hapii,1917,0.2495,25,355,-34,2591,NOT_AOI,1
1,hapii,1918,0.25606,26,501,168,2591,NOT_AOI,1
1,hapii,1919,0.21425,27,697,759,2591,RESULT5,1
1,hapii,1920,0.18193,26,396,91,2591,NOT_AOI,1
1,hapii,1921,0.14804,27,784,756,2591,RESULT5,1
1,hapii,1922,0.12850999999999999,28,781,114,2591,QUERY,1
1,hapii,1923,0.28329,28,808,753,2591,RESULT5,1
1,hapii,1924,0.17574,29,822,108,2591,QUERY,2
1,hapii,1925,0.13497,28,775,302,2591,RESULT2,2
1,hapii,1926,0.20744,29,461,115,2591,NOT_AOI,2
1,hapii,1927,0.2296300000000001,30,380,163,2591,NOT_AOI,2
