CH/SP -> CH/SP:,CH/SP -> Eng:,Eng -> Eng:,Eng -> CH/SP:
4.599999999999909,3.5999999999999086,3.0999999999999086,3.0
5.600000000000364,6.799999999999727,4.5,2.1999999999998185
4.5,3.9000000000000914,1.900000000000091,2.299999999999727
6.099999999999909,9.800000000000011,3.0999999999999086,2.9000000000000914
4.300000000000182,6.100000000000023,3.0,7.400000000000091
4.299999999999727,7.100000000000023,1.6000000000003638,6.300000000000183
2.100000000000364,4.099999999999909,1.1000000000003638,8.199999999999989
5.899999999999636,1.2999999999999543,9.699999999999818,3.6000000000000227
1.2999999999997272,5.5,0.900000000000091,3.1999999999999313
2.9000000000000914,0.7000000000000455,2.3000000000001815,9.600000000000025
3.5,4.800000000000182,6.5,6.399999999999977
8.599999999999909,4.2000000000000455,1.0,1.2000000000000457
7.900000000000091,6.600000000000137,3.5,4.2000000000000455
1.299999999999999,2.400000000000091,1.900000000000091,1.1000000000000227
4.700000000000001,1.400000000000091,1.2000000000000028,1.0
3.9000000000000057,2.800000000000182,0.7999999999999972,0.8999999999998636
2.4000000000000057,3.1000000000001364,4.799999999999997,0.7000000000000455
5.5,1.0,2.0,3.0999999999999086
9.399999999999991,4.699999999999818,8.0,3.399999999999864
3.400000000000034,1.400000000000091,5.0,1.0
4.199999999999989,1.699999999999818,7.0,3.399999999999864
4.5,3.699999999999818,5.0,7.699999999999817
1.6999999999999886,5.5,5.199999999999988,1.2000000000000457
1.8999999999999773,6.900000000000091,7.099999999999965,2.400000000000091
4.800000000000012,3.700000000000273,2.7999999999999545,2.7999999999999545
6.2999999999999545,4.399999999999637,3.3000000000000687,3.2999999999999545
0.8000000000000682,2.9000000000000914,0.7000000000000455,4.399999999999864
6.699999999999932,3.0999999999999086,4.600000000000024,3.6000000000001364
8.700000000000045,5.400000000000091,8.199999999999932,2.0
3.2999999999999545,1.400000000000091,4.7000000000000455,3.5
2.8999999999999773,0.7000000000002728,5.600000000000024,1.1999999999998179
2.700000000000045,1.1999999999998179,6.7000000000000455,4.400000000000091
0.7999999999999545,3.200000000000003,3.3000000000000687,1.6000000000003638
9.5,2.0,4.600000000000024,4.099999999999909
8.100000000000023,6.100000000000364,4.699999999999932,9.599999999999909
7.600000000000023,1.5,1.8999999999999773,6.199999999999817
3.7000000000000455,2.6000000000003642,1.900000000000091,2.1999999999998185
1.5,1.5,5.7000000000000455,1.0
2.1000000000000227,1.0,2.5,5.800000000000183
9.199999999999932,1.400000000000091,2.2999999999999545,2.299999999999727
2.200000000000045,9.800000000000182,1.8999999999999773,1.800000000000182
8.5,1.3000000000001821,5.400000000000091,3.4000000000000914
0.6999999999999318,5.200000000000274,5.7999999999999545,1.599999999999909
5.300000000000182,6.700000000000273,2.200000000000045,6.0
5.399999999999863,3.0,6.199999999999817,5.799999999999727
6.2000000000000455,2.0,0.8999999999998636,1.5
2.9000000000000914,2.200000000000273,0.7000000000000455,1.699999999999818
0.6999999999998181,3.299999999999727,2.9000000000000914,6.600000000000364
7.100000000000137,5.600000000000024,5.300000000000068,1.4000000000000057
5.900000000000091,4.2999999999999545,6.699999999999932,1.5999999999999943
7.700000000000045,0.7999999999999545,8.400000000000091,2.200000000000003
4.599999999999909,8.399999999999977,4.2999999999999545,2.3999999999996358
7.700000000000045,1.1999999999998179,5.2000000000000455,3.0
6.2000000000000455,1.5,7.5,3.399999999999636
2.9000000000000914,5.7999999999999545,5.599999999999909,1.3999999999996362
3.7999999999999545,1.7999999999999543,5.300000000000182,5.0
5.400000000000091,2.599999999999909,3.5,0.7000000000002728
6.199999999999817,5.5,2.800000000000182,1.0999999999999093
7.600000000000137,6.899999999999636,2.699999999999818,0.7999999999997272
3.0,1.599999999999909,5.7999999999999545,2.0
2.599999999999909,2.299999999999727,2.7999999999999545,1.1999999999998179
