MEDIA_ID,MEDIA_NAME,CNT,TIME(2019/10/31 15:34:41.017),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,TTL0,TTL1,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,Unnamed: 49,X_Coordinate,Y_Coordinate,AOI_TYPE,Page,userID,Is_Refixation,Left_Difference,Right_Difference,Saccade_length,Saccade_absolute_angle,Saccade_relative_angle
1,hapii,406,2.74658,5724657349319,0.04818,0.055779999999999996,2.50537,0.24120999999999998,11,1,0.07547999999999999,0.04,1,0.46823000000000004,0.38981,0,,0.2509,0.6039399999999999,16.586370000000002,0.93109,1,0.53233,0.6018,16.76233,0.93681,1,0,0.0,26,3.46659,1,3.4228400000000003,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,58.63903000000001,194.63683999999998,,93,60,NOT_AOI,0,4458,0,-0.0748141176470587,-0.0928382352941166,58.639022551198764,165.36314376033283,33.301132414653416
1,hapii,449,3.03467,5724660233737,0.09922,0.08642999999999999,2.75342,0.28125,12,1,0.20559000000000002,0.13863,1,0.46458,0.39352,0,,0.2494,0.6042,17.38315,0.87241,1,0.52994,0.5998899999999999,17.38573,0.87241,1,0,0.0,25,3.77006,1,3.74782,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,103.43652,341.3357200000001,,191,93,NOT_AOI,0,4458,0,0.2286558823529412,0.232141764705883,103.43652746607457,18.66427617498626,162.7175467754049
1,hapii,489,3.30225,5724662910156,0.4553,0.1017,3.0615200000000002,0.24072,13,1,0.43077,0.09688,1,0.46458,0.39352,0,,0.27105,0.60685,20.231279999999998,1.00385,1,0.55099,0.6080300000000001,19.25412,1.0101799999999999,1,0,0.0,25,4.23993,1,4.14002,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,683.8725,358.61816,,874,110,QUERY,0,4458,0,0.6985258823529414,0.6243417647058829,683.8724765681976,1.3818229503911514,31.42325820462201
1,hapii,515,3.47705,5724664655623,0.45297,0.09902999999999999,3.3090800000000002,0.16797,14,1,0.44843999999999995,-0.08952,1,0.46458,0.39352,0,,0.2728,0.6051300000000001,20.0852,1.06631,1,0.55207,0.60819,19.419710000000002,1.06631,1,0,0.0,25,4.02956,1,4.2216,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,5.3224599999999995,147.19513,,870,107,QUERY,0,4458,0,0.4881558823529413,0.7059217647058826,5.322428573499064,-147.19491884498686,157.42087203565353
1,hapii,537,3.62402,5724666125516,0.42152,0.01803,3.4834,0.14063,15,1,0.41436999999999996,0.04252,1,0.46458,0.39352,0,,0.27066,0.6038899999999999,18.39486,1.0121799999999999,1,0.55,0.6086199999999999,19.039579999999997,1.01921,1,0,0.0,25,3.7659,1,4.20713,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,106.29666,124.61581000000001,,809,19,NOT_AOI,0,4458,0,0.22449588235294105,0.6914517647058833,106.29665025766334,-124.61579088064038,35.442346792278265
1,hapii,570,3.84521,5724668337331,0.43706999999999996,0.02806,3.6303699999999997,0.21484,16,1,0.47113999999999995,0.030910000000000007,1,0.46458,0.39352,0,,0.27121999999999996,0.60055,18.34761,0.98485,1,0.55011,0.60655,18.70511,0.98485,1,0,0.0,25,3.75184,1,4.31656,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,31.76045,340.0582,,839,30,NOT_AOI,0,4458,0,0.2104358823529413,0.800881764705883,31.760378237042342,19.94186232708135,123.67094521357944
1,hapii,589,3.9721699999999998,5724669605601,0.4615800000000001,-0.00405,3.8515599999999997,0.12061,17,1,0.46938,-0.03946,1,0.46458,0.39352,0,,0.27111,0.6000300000000001,18.34674,1.0318399999999999,1,0.55006,0.60553,18.72296,1.0255,1,0,0.0,25,3.70034,1,4.36453,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,58.45671,36.387190000000004,,886,-4,NOT_AOI,0,4458,0,0.15893588235294145,0.8488517647058833,58.4567145337474,-36.387192459339204,83.04385312939839
1,hapii,615,4.14893,5724671376498,0.47012,0.02286,3.979,0.16992000000000002,18,1,0.4548,0.12568,0,0.46458,0.39352,0,,0.27324,0.60315,16.870420000000006,1.02496,0,0.5524,0.60806,18.13818,1.0383200000000001,0,0,0.0,25,3.6754599999999997,0,4.688619999999999,0,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,33.36916,299.43102999999996,,903,25,NOT_AOI,0,4458,0,0.1340558823529414,1.1729417647058815,33.36916831567715,60.56895441126241,163.77502389362198
1,hapii,677,4.56787,5724675565557,0.49551999999999996,0.21529,4.30469,0.26318,19,1,0.4841,0.2592,1,0.46458,0.39352,0,,0.27365,0.6083,19.75761,0.97856,1,0.55281,0.61459,19.847920000000002,0.9848899999999999,1,0,0.0,26,3.66897,1,3.8067599999999997,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,213.46965,283.20605,,951,233,RESULT1,0,4458,0,0.12756588235294108,0.2910817647058832,213.46966777357386,76.79393051764045,148.86953538778647
1,hapii,721,4.86279,5724678516012,0.47626999999999997,0.32109,4.59521,0.26758000000000004,20,1,0.49426000000000003,0.20881999999999998,1,0.46458,0.39352,0,,0.27243,0.6089600000000001,17.47008,0.99129,1,0.5514100000000001,0.61587,19.00245,0.99129,1,0,0.0,26,3.9291199999999997,1,3.8237300000000003,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,120.09291999999999,252.07558999999998,,914,347,RESULT2,0,4458,0,0.3877158823529414,0.3080517647058829,120.09289444425923,107.92439512985396,4.874845728521571
