userID,Page,AOI_TYPE,Total_Fixation_Count,Total_Fixation_Duration,Average_Fixation_Duration,Fixation_Duration_SD,Longest_Fixation_Duration,Total_Refixation_Count,Refixation_Ratio,Total_Saccade_Length,Average_Saccade_Length,Saccade_Length_SD,Total_Saccade_Absolute_Angle,Average_Saccade_Absolute_Angle,Saccade_Absolute_Angle_SD,Total_Saccade_Relative_Angle,Average_Saccade_Relative_Angle,Saccade_Relative_Angle_SD,Total_Left_Eye_Difference,Average_Left_Eye_Difference,Left_Eye_Difference_SD,Total_Right_Eye_Difference,Average_Right_Eye_Difference,Right_Eye_Difference_SD
4458,0,QUERY,23,7.57423,0.329314347826087,0.30440497926033955,1.40674,0,0.0,3871.5402484888496,-9.721421279669384,257.6997466510038,-223.59268943239584,-9.721421279669384,113.49453901941501,2173.708201938043,94.50905225817579,58.449453520270566,13.84180764705883,0.6920903823529415,0.2123484490972327,13.84180764705883,0.6920903823529415,0.2123484490972327
4458,0,RESULT1,36,8.901840000000002,0.24727333333333337,0.13305904975694896,0.64893,0,0.0,8894.017397461203,-25.33173756737351,375.94627205091115,-911.9425524254464,-25.33173756737351,102.85875339279343,3899.1256164376405,108.30904490104557,60.26987605614795,15.637502352941183,0.5044355597722963,0.22385856991607433,15.637502352941183,0.5044355597722963,0.22385856991607433
4458,0,RESULT2,5,0.73438,0.146876,0.07056231305732545,0.26758000000000004,0,0.0,2523.658628181598,-4.522910264169873,327.56921485036855,-22.614551320849365,-4.522910264169873,78.75540995740232,583.5290814019696,116.70581628039392,62.538867885494916,2.4195935294117654,0.6048983823529414,0.6897182194336683,2.4195935294117654,0.6048983823529414,0.6897182194336683
4458,0,RESULT3,14,11.069329999999999,0.7906664285714285,1.0520746502004445,3.71973,0,0.0,2519.574737951168,-9.683888983623234,300.9291163064768,-135.57444577072528,-9.683888983623234,90.83793242988308,1065.1061062831184,76.07900759165132,49.634433187357715,0.4885305882352964,0.04071088235294137,0.14813984581722095,0.4885305882352964,0.04071088235294137,0.14813984581722095
4458,0,RESULT4,13,3.03563,0.23351,0.17059537147657544,0.7041,0,0.0,2450.2426796760155,29.899898231844208,314.64090120393263,388.6986770139747,29.899898231844208,67.37112564996666,871.6366585492019,67.048973734554,74.05067067517794,2.4717094117647065,0.4943418823529413,1.0170069581158236,2.4717094117647065,0.4943418823529413,1.0170069581158236
4458,0,RESULT5,1,0.30811,0.30811,0.0,0.30811,0,0.0,786.9430339616713,-4.433014200902725,0.0,-4.433014200902725,-4.433014200902725,0.0,2.4416750543631207,2.4416750543631207,0.0,0.18813588235294126,0.18813588235294126,0.0,0.18813588235294126,0.18813588235294126,0.0
4458,0,RESULT6,1,0.35498,0.35498,0.0,0.35498,0,0.0,736.0925693859978,99.64152391691843,0.0,99.64152391691843,99.64152391691843,0.0,159.53279541013612,159.53279541013612,0.0,-0.17104411764705896,-0.17104411764705896,0.0,-0.17104411764705896,-0.17104411764705896,0.0
4458,0,NOT_AOI,486,178.3545800000002,0.36698473251028846,0.3189960785383903,2.33154,0,0.0,118816.56909044337,14.56216943442839,603.0157717469292,7077.214345132197,14.56216943442839,99.64203658130525,45625.3571216153,93.87933564118374,61.001931707772755,149.7763347058824,0.6455876495943207,0.4024187345026519,149.7763347058824,0.6455876495943207,0.4024187345026519
4458,1,QUERY,29,11.987309999999997,0.4133555172413792,0.32395380038418,1.52881,5,0.1724137931034483,2103.135926335141,12.87754573484563,87.21996549838754,373.44882631052326,12.87754573484563,107.58848607694652,3012.9009750115406,103.89313706936346,58.7602316057411,16.003897058823533,0.6401558823529413,0.3003185506129117,16.003897058823533,0.6401558823529413,0.3003185506129117
4458,1,RESULT1,16,6.71191,0.419494375,0.239890121148432,0.8901399999999999,2,0.125,2504.182478502632,25.299628015348198,173.16211336848593,404.79404824557116,25.299628015348198,106.08822770059207,1648.7796897453572,103.04873060908483,70.21970354980178,5.8616182352941175,0.39077454901960784,0.19878027391961092,5.8616182352941175,0.39077454901960784,0.19878027391961092
4458,1,RESULT2,14,7.1206200000000015,0.5086157142857144,0.32908693922328025,1.1054700000000002,1,0.07142857142857142,1242.2576862132196,0.6272712357762243,67.07835061987244,8.78179730086714,0.6272712357762243,85.53451803330131,1432.2975763255274,102.30696973753767,70.97437784890421,4.648766470588236,0.3575974208144797,0.10358921616329299,4.648766470588236,0.3575974208144797,0.10358921616329299
4458,1,RESULT3,88,34.887209999999996,0.39644556818181814,0.25796153334124844,1.23926,23,0.26136363636363635,8009.788773849739,-4.456836018980408,125.33905126043052,-392.20156967027594,-4.456836018980408,96.50577369281139,8052.603291320259,91.50685558318476,59.81141191356979,6.211760000000007,0.0730795294117648,0.11249426122670073,6.211760000000007,0.0730795294117648,0.11249426122670073
4458,1,RESULT4,22,7.226089999999999,0.3284586363636363,0.2601753573037625,1.11182,2,0.09090909090909091,2691.481075259242,34.963811305656776,78.87530292231585,769.203848724449,34.963811305656776,83.43107203823585,2124.867554646462,96.58488884756645,65.88448314121104,-1.290398235294115,-0.0679156965944271,0.13720813814165383,-1.290398235294115,-0.0679156965944271,0.13720813814165383
4458,1,RESULT5,41,14.570820000000005,0.3553858536585367,0.2135719074083185,0.95068,10,0.24390243902439024,3939.545550402097,10.392475281253478,106.32005441657539,426.0914865313926,10.392475281253478,105.34967824926393,3914.2077298131194,95.46848121495412,60.01532729379043,-5.512718235294114,-0.15313106209150318,0.13518478848927085,-5.512718235294114,-0.15313106209150318,0.13518478848927085
