MEDIA_ID,MEDIA_NAME,CNT,TIME(2019/10/25 13:11:15.352),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,TTL0,TTL1,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,Unnamed: 49,X_Coordinate,Y_Coordinate,userID,AOI_TYPE,Page,Saccade_length,Saccade_absolute_angle,Saccade_relative_angle,Is_Refixation,Left_Difference,Right_Difference
1,hapii,420,2.82031,454601448616,0.46194,0.14013,2.67578,0.14453,11,1,0.43594,0.08188,1,0.37917,0.14815,0,,0.25326,0.78454,18.80477,1.06884,1,0.5260699999999999,0.76732,17.788829999999994,1.08358,1,0,0.0,9,4.68118,1,4.5175,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,241.56543,339.39917,,887,151,5890,QUERY,0,241.5654172984205,20.600817271724612,40.860352073118456,0,1.0891460000000008,0.5652159999999999
1,hapii,441,2.95996,454602853324,0.43796,0.06174,2.8261700000000003,0.13379000000000002,12,1,0.44239,0.10044,1,0.37917,0.14815,0,,0.25283,0.78342,18.90617,1.03937,1,0.52553,0.76677,18.3883,1.03937,1,0,0.0,9,4.49343,1,4.46959,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,96.37089,118.53885,,841,67,5890,NOT_AOI,0,96.37088624683287,-118.53883065515694,159.96085639752334,0,0.9013960000000005,0.517306
1,hapii,462,3.10156,454604261630,0.43604,0.0389,2.9668,0.13477,13,1,0.43907,0.00383,1,0.43958,0.13519,0,,0.2532,0.78345,18.64349,1.0941,1,0.52622,0.7669100000000001,18.43953,1.0941,1,0,0.0,9,4.80858,1,4.49106,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,24.94113,98.49955,,837,42,5890,NOT_AOI,0,24.941136718281328,-98.49968705268026,24.09097436455533,0,1.2165460000000006,0.5387759999999999
1,hapii,560,3.75781,454610826024,0.43321,0.05693,3.1074200000000003,0.6503899999999999,14,1,0.30827,0.32491,1,0.45729,0.11019,0,,0.26333,0.79114,21.83096,1.0969799999999998,1,0.5331600000000001,0.78132,21.27112,1.08225,1,0,0.0,9,4.29031,1,4.09091,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,20.21631,254.40857000000003,,832,61,5890,NOT_AOI,0,20.216289736744468,105.59128731187508,167.3818319117774,0,0.6982760000000003,0.13862599999999992
1,hapii,601,4.03223,454613571890,-0.05793,1.68468,3.82422,0.20801,15,1,-0.07942,1.76708,1,0.45729,0.11019,0,,0.26705,0.8546100000000001,19.695870000000006,0.96846,1,0.5281899999999999,0.84711,22.32705,0.96846,1,0,0.0,9,4.30328,1,4.56842,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,1994.91504,241.79054,,-111,1819,5890,NOT_AOI,0,1994.9151354946,118.20945540009764,109.12979432777384,0,0.7112460000000005,0.6161359999999996
1,hapii,633,4.25098,454615760033,0.01821,1.83157,4.06055,0.19043,16,1,0.06165,1.59127,1,0.45729,0.11019,0,,0.27518000000000004,0.8408200000000001,15.19019,1.04726,1,0.53513,0.8404,9.50744,1.04028,1,0,0.0,8,4.57061,1,3.08236,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,215.72714,312.66074,,35,1978,5890,NOT_AOI,0,215.7271322362581,47.339249727871504,65.83842138598804,0,0.9785760000000008,-0.8699240000000001
1,hapii,679,4.58105,454619062234,0.44267,0.06907,4.44922,0.13184,17,1,0.43895,0.04352,1,0.45729,0.11019,0,,0.31182,0.7911699999999999,22.90224,1.13226,1,0.57929,0.79315,21.86194,1.12451,1,0,0.0,9,4.86116,1,5.0475,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,2070.62231,66.82233000000001,,850,75,5890,NOT_AOI,0,2070.6224347655075,-66.82232888614048,172.2722087673364,0,1.2691260000000004,1.0952160000000002
1,hapii,859,5.78711,454631118597,0.44688,0.04199,4.59473,1.19238,18,1,0.42723,0.12133,1,0.45729,0.11019,0,,0.30349,0.78908,20.99013,1.08069,1,0.5726100000000001,0.79061,20.88869,1.08069,1,0,0.0,9,4.71515,1,4.54084,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,30.34288,74.55003,,858,45,5890,NOT_AOI,0,30.34287453752527,-74.55012011880402,2.28316864429596,0,1.123116000000001,0.5885560000000001
1,hapii,932,6.27637,454636012035,0.4340100000000001,0.11354000000000004,5.79395,0.48242,19,1,0.5056,0.33159,1,0.45729,0.11019,0,,0.30675,0.7945,18.63322,1.11644,1,0.5753,0.79614,18.69172,1.11644,1,0,0.0,9,4.11267,1,4.05938,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,81.12878,252.26691,,833,123,5890,QUERY,0,81.12875534704077,107.73304852549194,141.2566039432786,0,0.5206360000000001,0.10709599999999986
1,hapii,967,6.51074,454638357585,0.7552399999999999,1.60044,6.34277,0.16797,20,1,0.8012,1.67975,1,0.45729,0.11019,0,,0.29309,0.8481299999999999,22.47342,1.0941,1,0.5628,0.84606,21.66114,1.0941,1,0,0.0,9,4.1606,1,4.08597,1,0.0,0,0.0,0,0.0,0,2147483647,2147483647,0,0.0,0,,1720.2196,291.01035,,1450,1728,5890,NOT_AOI,0,1720.2196130548443,68.98965246877056,174.58735394039937,0,0.5685660000000001,0.13368599999999953
