MEDIA_ID,MEDIA_NAME,BKID,BKDUR,BKPMIN,X_Coordinate,Y_Coordinate,userID,AOI_TYPE,Page
1,hapii,1390,0.10194,7,874,144,2899,QUERY,0
1,hapii,1391,0.056970000000000014,7,499,270,2899,NOT_AOI,0
1,hapii,1392,0.12178,8,435,33,2899,NOT_AOI,0
1,hapii,1393,0.09712,9,364,592,2899,NOT_AOI,0
1,hapii,1394,0.10895999999999999,10,414,110,2899,NOT_AOI,0
1,hapii,1395,0.1367,11,392,250,2899,NOT_AOI,0
1,hapii,1396,0.17745,12,2075,1955,2899,NOT_AOI,0
1,hapii,1397,0.06486,13,433,173,2899,NOT_AOI,0
1,hapii,1398,0.11065,12,117,388,2899,NOT_AOI,0
1,hapii,1399,0.2328800000000001,12,135,982,2899,NOT_AOI,0
1,hapii,1400,0.2982,12,-3,865,2899,NOT_AOI,0
1,hapii,1401,0.39793,12,1832,1924,2899,NOT_AOI,0
1,hapii,1402,0.11297,13,201,-139,2899,NOT_AOI,0
1,hapii,1403,0.01374,14,486,251,2899,NOT_AOI,0
1,hapii,1404,0.06515,15,963,508,2899,RESULT3,0
1,hapii,1405,0.13647,12,760,165,2899,QUERY,1
1,hapii,1406,0.14918,9,536,271,2899,NOT_AOI,1
1,hapii,1407,0.09097000000000001,10,357,236,2899,NOT_AOI,1
1,hapii,1408,0.10425999999999999,9,392,210,2899,NOT_AOI,2
1,hapii,1409,0.12652,5,629,534,2899,NOT_AOI,2
1,hapii,1410,0.08627,6,463,27,2899,NOT_AOI,2
1,hapii,1411,0.11705,7,982,807,2899,NOT_AOI,2
1,hapii,1412,0.05731,6,1135,157,2899,QUERY,3
1,hapii,1413,0.10013,6,337,296,2899,NOT_AOI,3
1,hapii,1414,0.10295,6,424,376,2899,NOT_AOI,3
1,hapii,1415,0.11965,6,372,-4,2899,NOT_AOI,4
1,hapii,1416,0.10296,7,731,189,2899,RESULT1,4
1,hapii,1417,0.10382000000000001,8,398,80,2899,NOT_AOI,4
1,hapii,1418,0.01876,7,0,0,2899,NOT_AOI,4
1,hapii,1419,0.15538,6,408,340,2899,NOT_AOI,4
1,hapii,1420,0.15495,2,440,144,2899,NOT_AOI,5
1,hapii,1421,0.12866,3,407,347,2899,NOT_AOI,5
1,hapii,1422,0.11515,4,368,131,2899,NOT_AOI,6
1,hapii,1423,0.09877999999999999,5,371,218,2899,NOT_AOI,6
1,hapii,1424,0.12133,5,704,674,2899,NOT_AOI,6
