ID,userID,Task,QueryLanguage,"Result Order",exitAt,createdAt,updatedAt
329,2156,0,"Eye Tracker",-1,"2019-11-01 11:25:16.619","2019-11-01 11:25:00.707","2019-11-01 11:25:16.619"
330,2156,1,Spanish,0,"2019-11-01 11:26:15.912","2019-11-01 11:25:16.766","2019-11-01 11:26:15.912"
331,2156,2,English,3,"2019-11-01 11:26:50.021","2019-11-01 11:26:16.044","2019-11-01 11:26:50.021"
332,2156,3,Spanish,1,"2019-11-01 11:27:37.912","2019-11-01 11:26:50.153","2019-11-01 11:27:37.912"
333,2156,4,English,2,"2019-11-01 11:28:45.856","2019-11-01 11:27:38.072","2019-11-01 11:28:45.856"
334,2156,5,Spanish,4,"2019-11-01 11:30:24.150","2019-11-01 11:28:46.022","2019-11-01 11:30:24.150"
335,2156,6,English,0,"2019-11-01 11:31:20.342","2019-11-01 11:30:24.291","2019-11-01 11:31:20.342"
336,2156,7,Spanish,3,"2019-11-01 11:32:14.210","2019-11-01 11:31:20.465","2019-11-01 11:32:14.210"
337,2156,8,English,1,"2019-11-01 11:33:00.544","2019-11-01 11:32:14.318","2019-11-01 11:33:00.544"
338,2156,9,Spanish,2,"2019-11-01 11:33:42.943","2019-11-01 11:33:00.664","2019-11-01 11:33:42.943"
339,2156,10,English,4,"2019-11-01 11:34:34.582","2019-11-01 11:33:43.083","2019-11-01 11:34:34.582"
340,2156,11,Spanish,0,"2019-11-01 11:35:15.975","2019-11-01 11:34:34.721","2019-11-01 11:35:15.975"
341,2156,12,English,3,"2019-11-01 11:35:31.922","2019-11-01 11:35:16.094","2019-11-01 11:35:31.922"
342,2156,13,Spanish,1,"2019-11-01 11:35:58.117","2019-11-01 11:35:32.053","2019-11-01 11:35:58.117"
343,2156,14,English,2,"2019-11-01 11:36:20.646","2019-11-01 11:35:58.237","2019-11-01 11:36:20.646"
344,2156,15,Spanish,4,"2019-11-01 11:37:05.935","2019-11-01 11:36:20.781","2019-11-01 11:37:05.935"
345,2156,16,English,0,"2019-11-01 11:38:49.632","2019-11-01 11:37:06.060","2019-11-01 11:38:49.632"
346,2156,17,Spanish,3,"2019-11-01 11:39:07.145","2019-11-01 11:38:49.798","2019-11-01 11:39:07.145"
347,2156,18,English,1,"2019-11-01 11:40:04.215","2019-11-01 11:39:07.264","2019-11-01 11:40:04.215"
348,2156,19,Spanish,2,"2019-11-01 11:41:00.565","2019-11-01 11:40:04.342","2019-11-01 11:41:00.565"
349,2156,20,English,4,"2019-11-01 11:41:45.532","2019-11-01 11:41:00.675","2019-11-01 11:41:45.532"
350,2156,21,Spanish,0,"2019-11-01 11:42:15.016","2019-11-01 11:41:45.662","2019-11-01 11:42:15.016"
351,2156,22,English,3,"2019-11-01 11:43:04.742","2019-11-01 11:42:15.122","2019-11-01 11:43:04.742"
352,2156,23,Spanish,1,"2019-11-01 11:43:37.672","2019-11-01 11:43:04.856","2019-11-01 11:43:37.672"
353,2156,24,English,2,"2019-11-01 11:43:51.367","2019-11-01 11:43:37.777","2019-11-01 11:43:51.367"
354,2156,25,Spanish,4,"2019-11-01 11:44:11.026","2019-11-01 11:43:51.491","2019-11-01 11:44:11.026"
355,2156,26,English,0,"2019-11-01 11:44:48.973","2019-11-01 11:44:11.149","2019-11-01 11:44:48.973"
356,2156,27,Spanish,3,"2019-11-01 11:45:26.782","2019-11-01 11:44:49.078","2019-11-01 11:45:26.782"
357,2156,28,English,1,"2019-11-01 11:45:53.290","2019-11-01 11:45:26.882","2019-11-01 11:45:53.290"
358,2156,29,Spanish,2,"2019-11-01 11:46:20.415","2019-11-01 11:45:53.409","2019-11-01 11:46:20.415"
359,2156,30,English,4,"2019-11-01 11:46:34.907","2019-11-01 11:46:20.524","2019-11-01 11:46:34.907"
