@relation 'all_users_aoi chinese'

@attribute userID numeric
@attribute Page numeric
@attribute AOI_TYPE {RESULT4,RESULT5,RESULT6,RESULT1,RESULT3,RESULT2}
@attribute Total_Fixation_Count numeric
@attribute Total_Fixation_Duration numeric
@attribute Average_Fixation_Duration numeric
@attribute Fixation_Duration_SD numeric
@attribute Longest_Fixation_Duration numeric
@attribute Total_Refixation_Count numeric
@attribute Refixation_Ratio numeric
@attribute Total_Saccade_Length numeric
@attribute Average_Saccade_Length numeric
@attribute Saccade_Length_SD numeric
@attribute Total_Saccade_Absolute_Angle numeric
@attribute Average_Saccade_Absolute_Angle numeric
@attribute Saccade_Absolute_Angle_SD numeric
@attribute Total_Saccade_Relative_Angle numeric
@attribute Average_Saccade_Relative_Angle numeric
@attribute Saccade_Relative_Angle_SD numeric
@attribute Total_Left_Eye_Difference numeric
@attribute Average_Left_Eye_Difference numeric
@attribute Left_Eye_Difference_SD numeric
@attribute Total_Right_Eye_Difference numeric
@attribute Average_Right_Eye_Difference numeric
@attribute Right_Eye_Difference_SD numeric
@attribute Blink_Count numeric
@attribute Total_Blink_Duration numeric
@attribute Average_Blink_Duration numeric
@attribute AOILanguage {Chinese}
@attribute PreviousAOILanguage {English,Chinese}
@attribute LanguageSwitch {Yes,No}
@attribute 'Self AOI_Language_Prof' {High}
@attribute 'Test AOI_Language_Prof' {High}
@attribute Is_AOI_L1 {Yes}
@attribute Extra {2068-1-RESULT4,2068-1-RESULT5,2068-1-RESULT6,2068-3-RESULT1,2068-3-RESULT3,2068-3-RESULT5,2068-4-RESULT1,2068-4-RESULT2,2068-4-RESULT3,2068-4-RESULT4,2068-4-RESULT5,2068-4-RESULT6,2068-5-RESULT1,2068-5-RESULT2,2068-5-RESULT3,2068-6-RESULT4,2068-6-RESULT5,2068-6-RESULT6,2068-8-RESULT1,2068-8-RESULT3,2068-8-RESULT5,2068-9-RESULT1,2068-9-RESULT2,2068-9-RESULT3,2068-9-RESULT4,2068-9-RESULT5,2068-9-RESULT6,2068-10-RESULT1,2068-10-RESULT2,2068-10-RESULT3,2068-11-RESULT4,2068-11-RESULT5,2068-11-RESULT6,2068-13-RESULT1,2068-13-RESULT3,2068-13-RESULT5,2068-14-RESULT1,2068-14-RESULT2,2068-14-RESULT3,2068-14-RESULT4,2068-14-RESULT5,2068-14-RESULT6,2068-15-RESULT2,2068-15-RESULT3,2068-16-RESULT4,2068-16-RESULT5,2068-16-RESULT6,2068-17-RESULT1,2068-18-RESULT1,2068-18-RESULT3,2068-18-RESULT5,2068-19-RESULT1,2068-19-RESULT2,2068-19-RESULT3,2068-19-RESULT4,2068-19-RESULT5,2068-19-RESULT6,2068-20-RESULT2,2068-20-RESULT3,2068-21-RESULT4,2068-21-RESULT5,2068-21-RESULT6,2068-22-RESULT1,2068-23-RESULT1,2068-23-RESULT3,2068-23-RESULT5,2068-24-RESULT1,2068-24-RESULT2,2068-24-RESULT3,2068-24-RESULT4,2068-24-RESULT5,2068-24-RESULT6,2068-25-RESULT2,2068-25-RESULT3,2068-26-RESULT4,2068-26-RESULT5,2068-26-RESULT6,2068-27-RESULT1,2068-28-RESULT1,2068-28-RESULT3,2068-28-RESULT5,2068-29-RESULT1,2068-29-RESULT2,2068-29-RESULT3,2068-29-RESULT4,2068-29-RESULT5,2068-29-RESULT6,2068-30-RESULT1,2068-30-RESULT2,2068-30-RESULT3,3545-1-RESULT1,3545-1-RESULT2,3545-1-RESULT3,3545-2-RESULT1,3545-2-RESULT2,3545-2-RESULT3,3545-2-RESULT4,3545-2-RESULT5,3545-2-RESULT6,3545-3-RESULT4,3545-3-RESULT5,3545-3-RESULT6,3545-4-RESULT1,3545-4-RESULT3,3545-4-RESULT5,3545-6-RESULT1,3545-6-RESULT2,3545-6-RESULT3,3545-7-RESULT1,3545-7-RESULT2,3545-7-RESULT3,3545-7-RESULT4,3545-7-RESULT5,3545-7-RESULT6,3545-8-RESULT4,3545-8-RESULT5,3545-8-RESULT6,3545-9-RESULT1,3545-9-RESULT3,3545-9-RESULT5,3545-11-RESULT1,3545-11-RESULT2,3545-11-RESULT3,3545-12-RESULT1,3545-12-RESULT2,3545-12-RESULT3,3545-12-RESULT4,3545-12-RESULT5,3545-12-RESULT6,3545-13-RESULT4,3545-13-RESULT5,3545-13-RESULT6,3545-14-RESULT1,3545-14-RESULT3,3545-14-RESULT5,3545-16-RESULT1,3545-16-RESULT2,3545-16-RESULT3,3545-17-RESULT1,3545-17-RESULT2,3545-17-RESULT3,3545-17-RESULT4,3545-17-RESULT5,3545-17-RESULT6,3545-18-RESULT4,3545-18-RESULT5,3545-18-RESULT6,3545-19-RESULT1,3545-19-RESULT3,3545-19-RESULT5,3545-21-RESULT1,3545-21-RESULT2,3545-21-RESULT3,3545-22-RESULT1,3545-22-RESULT2,3545-22-RESULT3,3545-22-RESULT4,3545-22-RESULT5,3545-22-RESULT6,3545-23-RESULT4,3545-23-RESULT5,3545-23-RESULT6,3545-24-RESULT1,3545-24-RESULT3,3545-24-RESULT5,3545-26-RESULT1,3545-26-RESULT2,3545-26-RESULT3,3545-27-RESULT1,3545-27-RESULT2,3545-27-RESULT3,3545-27-RESULT4,3545-27-RESULT5,3545-27-RESULT6,3545-28-RESULT4,3545-28-RESULT5,3545-28-RESULT6,3545-29-RESULT1,3545-29-RESULT3,3545-29-RESULT5,1586-1-RESULT1,1586-1-RESULT2,1586-1-RESULT3,1586-1-RESULT4,1586-1-RESULT5,1586-1-RESULT6,1586-2-RESULT4,1586-2-RESULT5,1586-2-RESULT6,1586-4-RESULT1,1586-4-RESULT2,1586-4-RESULT3,1586-5-RESULT1,1586-5-RESULT3,1586-5-RESULT5,1586-6-RESULT1,1586-6-RESULT2,1586-6-RESULT3,1586-6-RESULT4,1586-6-RESULT5,1586-6-RESULT6,1586-7-RESULT4,1586-7-RESULT5,1586-7-RESULT6,1586-9-RESULT1,1586-9-RESULT2,1586-9-RESULT3,1586-10-RESULT1,1586-10-RESULT3,1586-10-RESULT5,1586-11-RESULT1,1586-11-RESULT2,1586-11-RESULT3,1586-11-RESULT4,1586-11-RESULT5,1586-11-RESULT6,1586-12-RESULT4,1586-12-RESULT5,1586-12-RESULT6,1586-14-RESULT1,1586-14-RESULT2,1586-14-RESULT3,1586-15-RESULT1,1586-15-RESULT3,1586-15-RESULT5,1586-16-RESULT1,1586-16-RESULT2,1586-16-RESULT3,1586-16-RESULT4,1586-16-RESULT5,1586-16-RESULT6,1586-17-RESULT4,1586-17-RESULT5,1586-17-RESULT6,1586-19-RESULT1,1586-19-RESULT2,1586-19-RESULT3,1586-20-RESULT1,1586-20-RESULT3,1586-20-RESULT5,1586-21-RESULT1,1586-21-RESULT2,1586-21-RESULT3,1586-21-RESULT4,1586-21-RESULT5,1586-21-RESULT6,1586-22-RESULT4,1586-22-RESULT5,1586-22-RESULT6,1586-24-RESULT1,1586-24-RESULT2,1586-24-RESULT3,1586-25-RESULT1,1586-25-RESULT3,1586-25-RESULT5,1586-26-RESULT1,1586-26-RESULT2,1586-26-RESULT3,1586-26-RESULT4,1586-26-RESULT5,1586-26-RESULT6,1586-27-RESULT4,1586-27-RESULT5,1586-27-RESULT6,1586-29-RESULT1,1586-29-RESULT2,1586-29-RESULT3,1586-30-RESULT1,1586-30-RESULT3,1586-30-RESULT5,132-1-RESULT1,132-1-RESULT3,132-1-RESULT5,132-2-RESULT1,132-2-RESULT2,132-2-RESULT3,132-3-RESULT1,132-3-RESULT2,132-3-RESULT3,132-3-RESULT4,132-3-RESULT5,132-3-RESULT6,132-5-RESULT4,132-5-RESULT5,132-5-RESULT6,132-6-RESULT1,132-6-RESULT3,132-6-RESULT5,132-7-RESULT1,132-7-RESULT2,132-7-RESULT3,132-8-RESULT1,132-8-RESULT2,132-8-RESULT3,132-8-RESULT4,132-8-RESULT5,132-8-RESULT6,132-10-RESULT4,132-10-RESULT5,132-10-RESULT6,132-11-RESULT1,132-11-RESULT3,132-11-RESULT5,132-12-RESULT1,132-12-RESULT2,132-12-RESULT3,132-13-RESULT1,132-13-RESULT2,132-13-RESULT3,132-13-RESULT4,132-13-RESULT5,132-13-RESULT6,132-15-RESULT4,132-15-RESULT5,132-15-RESULT6,132-16-RESULT1,132-16-RESULT3,132-16-RESULT5,132-17-RESULT1,132-17-RESULT2,132-17-RESULT3,132-18-RESULT1,132-18-RESULT2,132-18-RESULT3,132-18-RESULT4,132-18-RESULT5,132-18-RESULT6,132-20-RESULT4,132-20-RESULT5,132-20-RESULT6,132-21-RESULT1,132-21-RESULT3,132-21-RESULT5,132-22-RESULT1,132-22-RESULT2,132-22-RESULT3,132-23-RESULT1,132-23-RESULT2,132-23-RESULT3,132-23-RESULT4,132-23-RESULT5,132-23-RESULT6,132-25-RESULT4,132-25-RESULT5,132-25-RESULT6,132-26-RESULT1,132-26-RESULT3,132-26-RESULT5,132-27-RESULT1,132-27-RESULT2,132-27-RESULT3,132-28-RESULT1,132-28-RESULT2,132-28-RESULT3,132-28-RESULT4,132-28-RESULT5,132-28-RESULT6,132-30-RESULT4,132-30-RESULT5,132-30-RESULT6}

@data
2068,1,RESULT4,22,4.32226,0.196466,0.098678,0.40234,1,0.045455,1831.48032,9.647896,66.27429,212.253708,9.647896,104.46693,2333.761571,106.080071,47.295983,-0.556683,-0.030927,0.275409,-0.556683,-0.030927,0.275409,2,1.08893,0.544465,Chinese,English,Yes,High,High,Yes,2068-1-RESULT4
2068,1,RESULT5,9,1.89259,0.210288,0.068301,0.3418,2,0.222222,838.670911,-18.454028,72.180675,-166.086251,-18.454028,96.410371,861.119631,95.679959,55.984653,-0.996593,-0.14237,0.157552,-0.996593,-0.14237,0.157552,1,0.02105,0.02105,Chinese,Chinese,No,High,High,Yes,2068-1-RESULT5
2068,1,RESULT6,7,2.43947,0.348496,0.100025,0.55469,1,0.142857,573.44498,-3.256504,83.867316,-22.795528,-3.256504,86.360912,703.031315,100.433045,55.417847,-2.447323,-0.349618,0.108916,-2.447323,-0.349618,0.108916,0,0,0,Chinese,Chinese,No,High,High,Yes,2068-1-RESULT6
2068,3,RESULT1,14,2.42969,0.173549,0.081088,0.3457,1,0.071429,4408.566206,-19.814334,588.180346,-277.400671,-19.814334,88.924749,1501.163282,107.225949,56.887609,-0.120352,-0.010029,0.515585,-0.120352,-0.010029,0.515585,0,0,0,Chinese,English,Yes,High,High,Yes,2068-3-RESULT1
2068,3,RESULT3,49,9.24415,0.188656,0.082711,0.47656,4,0.081633,6233.1883,-6.341484,147.318849,-310.732696,-6.341484,95.248599,5148.267579,105.066685,63.281282,-0.341614,-0.007426,0.169787,-0.341614,-0.007426,0.169787,0,0,0,Chinese,English,Yes,High,High,Yes,2068-3-RESULT3
2068,3,RESULT5,11,1.89062,0.171875,0.114581,0.47656,1,0.090909,3497.412694,33.678975,499.26046,370.468719,33.678975,94.382807,1165.829482,105.984498,58.473742,1.885882,0.188588,0.37129,1.885882,0.188588,0.37129,0,0,0,Chinese,English,Yes,High,High,Yes,2068-3-RESULT5
2068,4,RESULT1,28,5.00394,0.178712,0.08976,0.38281,5,0.178571,3348.968477,8.265861,118.088951,231.44411,8.265861,111.607752,2047.503169,73.125113,53.470468,-0.176834,-0.007368,0.370976,-0.176834,-0.007368,0.370976,0,0,0,Chinese,English,Yes,High,High,Yes,2068-4-RESULT1
2068,4,RESULT2,13,2.22656,0.171274,0.099909,0.3418,1,0.076923,1313.442467,-11.950301,55.129406,-155.353918,-11.950301,109.071378,1097.862692,84.450976,64.716294,-0.298424,-0.022956,0.388511,-0.298424,-0.022956,0.388511,0,0,0,Chinese,Chinese,No,High,High,Yes,2068-4-RESULT2
2068,4,RESULT3,18,2.33005,0.129447,0.053926,0.21484,1,0.055556,2512.416817,-15.850063,133.041231,-285.301132,-15.850063,92.043917,1865.506292,103.639239,59.231533,4.786673,0.319112,1.396109,4.786673,0.319112,1.396109,2,0.35397,0.176985,Chinese,Chinese,No,High,High,Yes,2068-4-RESULT3
2068,4,RESULT4,64,12.31833,0.192474,0.087943,0.40234,9,0.140625,7226.955558,4.857717,111.015473,310.893868,4.857717,102.305173,5914.164893,92.408826,52.581987,10.00272,0.181868,1.010025,10.00272,0.181868,1.010025,0,0,0,Chinese,Chinese,No,High,High,Yes,2068-4-RESULT4
2068,4,RESULT5,27,5.70311,0.211226,0.092663,0.38281,3,0.111111,3232.327686,19.832441,163.380025,535.475906,19.832441,116.950814,2021.89858,74.885133,61.805234,-5.199345,-0.207974,0.396432,-5.199345,-0.207974,0.396432,1,0.18283,0.18283,Chinese,Chinese,No,High,High,Yes,2068-4-RESULT5
2068,4,RESULT6,17,4.0293,0.237018,0.145484,0.69727,1,0.058824,1739.737744,21.593205,83.684496,367.084486,21.593205,81.005388,1761.287352,103.605138,59.789754,-5.412569,-0.338286,0.411112,-5.412569,-0.338286,0.411112,1,0.19326,0.19326,Chinese,Chinese,No,High,High,Yes,2068-4-RESULT6
2068,5,RESULT1,3,0.61914,0.20638,0.072489,0.30859,0,0,366.420424,45.438394,96.596163,136.315183,45.438394,97.229432,210.537305,70.179102,49.361835,0.973055,0.324352,0.089127,0.973055,0.324352,0.089127,0,0,0,Chinese,Chinese,No,High,High,Yes,2068-5-RESULT1
2068,5,RESULT2,3,0.57226,0.190753,0.006444,0.19531,0,0,306.273684,24.743893,25.151906,74.23168,24.743893,68.790079,354.082841,118.027614,78.313928,0.913585,0.304528,0.448539,0.913585,0.304528,0.448539,1,0.39505,0.39505,Chinese,Chinese,No,High,High,Yes,2068-5-RESULT2
2068,5,RESULT3,9,1.52734,0.169704,0.055322,0.30859,1,0.111111,1317.261842,8.832089,218.997272,79.488805,8.832089,83.80725,664.5326,73.836956,62.834278,9.337024,1.037447,1.634896,9.337024,1.037447,1.634896,0,0,0,Chinese,Chinese,No,High,High,Yes,2068-5-RESULT3
2068,6,RESULT4,15,1.93166,0.128777,0.084277,0.32227,0,0,2363.694307,5.887757,194.798893,88.316362,5.887757,83.833318,983.920099,65.594673,41.103623,55.284375,3.948884,2.988702,55.284375,3.948884,2.988702,1,0.23505,0.23505,Chinese,English,Yes,High,High,Yes,2068-6-RESULT4
2068,6,RESULT5,18,2.23046,0.123914,0.059524,0.24219,0,0,1617.135505,21.607155,55.900916,388.928798,21.607155,101.052839,1538.946387,85.497021,50.680527,71.448719,4.202866,2.755838,71.448719,4.202866,2.755838,0,0,0,Chinese,Chinese,No,High,High,Yes,2068-6-RESULT5
2068,6,RESULT6,27,5.32228,0.197121,0.149742,0.62305,0,0,3750.833092,22.718871,116.617734,613.409523,22.718871,106.887671,2588.322532,95.863797,59.037126,56.650903,2.178881,3.157751,56.650903,2.178881,3.157751,1,0.14459,0.14459,Chinese,Chinese,No,High,High,Yes,2068-6-RESULT6
2068,8,RESULT1,3,0.60742,0.202473,0.083631,0.32031,0,0,306.682633,-12.48697,44.442919,-37.46091,-12.48697,78.812074,148.168928,49.389643,29.506279,0.748095,0.249365,0.026133,0.748095,0.249365,0.026133,0,0,0,Chinese,English,Yes,High,High,Yes,2068-8-RESULT1
2068,8,RESULT3,4,0.64453,0.161133,0.086406,0.30859,0,0,491.050227,10.137916,49.611549,40.551665,10.137916,97.896965,542.782335,135.695584,22.992107,-0.167057,-0.041764,0.284339,-0.167057,-0.041764,0.284339,0,0,0,Chinese,English,Yes,High,High,Yes,2068-8-RESULT3
2068,8,RESULT5,3,1.12695,0.37565,0.236755,0.70898,0,0,98.44243,-21.129139,15.464113,-63.387416,-21.129139,80.590093,121.922046,40.640682,44.137729,-0.657845,-0.219282,0.021977,-0.657845,-0.219282,0.021977,0,0,0,Chinese,English,Yes,High,High,Yes,2068-8-RESULT5
2068,9,RESULT1,2,0.5293,0.26465,0.07715,0.3418,0,0,856.93507,-14.875823,344.339164,-29.751646,-14.875823,76.550657,332.954596,166.477298,1.897283,0.548976,0.274488,0.213375,0.548976,0.274488,0.213375,0,0,0,Chinese,English,Yes,High,High,Yes,2068-9-RESULT1
2068,9,RESULT2,1,0.0957,0.0957,0,0.0957,0,0,634.614073,-75.975345,0,-75.975345,-75.975345,0,37.937071,37.937071,0,0.066708,0.066708,0,0.066708,0.066708,0,0,0,0,Chinese,Chinese,No,High,High,Yes,2068-9-RESULT2
2068,9,RESULT3,4,0.56054,0.140135,0.059422,0.24023,0,0,318.342168,30.017937,56.911319,120.07175,30.017937,86.273231,242.591536,60.647884,55.210323,0.647985,0.215995,0.068722,0.647985,0.215995,0.068722,0,0,0,Chinese,Chinese,No,High,High,Yes,2068-9-RESULT3
2068,9,RESULT4,6,1,0.166667,0.064173,0.28906,0,0,608.768133,34.655278,82.303339,207.93167,34.655278,84.106074,615.873986,102.645664,29.558854,1.464549,0.244092,0.328765,1.464549,0.244092,0.328765,0,0,0,Chinese,Chinese,No,High,High,Yes,2068-9-RESULT4
2068,9,RESULT5,2,1.0625,0.53125,0.38477,0.91602,0,0,172.603095,59.207718,17.838538,118.415435,59.207718,15.976202,293.539562,146.769781,26.481049,-0.397794,-0.198897,0.38162,-0.397794,-0.198897,0.38162,0,0,0,Chinese,Chinese,No,High,High,Yes,2068-9-RESULT5
2068,9,RESULT6,5,1.19727,0.239454,0.153508,0.47656,0,0,889.826893,18.326053,252.470331,91.630263,18.326053,99.480117,443.840368,88.768074,55.280712,-1.701997,-0.425499,0.033955,-1.701997,-0.425499,0.033955,0,0,0,Chinese,Chinese,No,High,High,Yes,2068-9-RESULT6
2068,10,RESULT1,25,3.55858,0.142343,0.048354,0.24219,3,0.12,3149.470863,-14.536422,149.548592,-363.410541,-14.536422,106.36711,2482.42544,99.297018,57.516422,-3.668932,-0.159519,0.480555,-3.668932,-0.159519,0.480555,1,0.05928,0.05928,Chinese,Chinese,No,High,High,Yes,2068-10-RESULT1
2068,10,RESULT2,13,1.66211,0.127855,0.0325,0.20313,0,0,2229.018372,-4.621199,133.56041,-60.075585,-4.621199,117.986017,1074.814047,82.678004,47.830518,-0.631422,-0.052618,0.443727,-0.631422,-0.052618,0.443727,0,0,0,Chinese,Chinese,No,High,High,Yes,2068-10-RESULT2
