userID,Page,AOI_TYPE,Total_Fixation_Count,Total_Fixation_Duration,Average_Fixation_Duration,Fixation_Duration_SD,Longest_Fixation_Duration,Total_Refixation_Count,Refixation_Ratio,Total_Saccade_Length,Average_Saccade_Length,Saccade_Length_SD,Total_Saccade_Absolute_Angle,Average_Saccade_Absolute_Angle,Saccade_Absolute_Angle_SD,Total_Saccade_Relative_Angle,Average_Saccade_Relative_Angle,Saccade_Relative_Angle_SD,Total_Left_Eye_Difference,Average_Left_Eye_Difference,Left_Eye_Difference_SD,Total_Right_Eye_Difference,Average_Right_Eye_Difference,Right_Eye_Difference_SD,Blink_Count,Total_Blink_Duration,Average_Blink_Duration,AOILanguage,PreviousAOILanguage,LanguageSwitch,Is_AOI_L1,Extra,Self English,Test English,Self Chinese,Test Chinese
5385,3,RESULT1,3,0.53613,0.17870999999999998,0.069952248,0.24120999999999998,0,0.0,634.2169805,90.61443819,86.09783162,271.84331460000004,90.61443819,3.143642025,187.1378887,62.37929625,78.80878381,2.354909091,0.7849696970000001,0.150828426,2.354909091,0.7849696970000001,0.150828426,0,0.0,0.0,English,Chinese,Yes,Yes,5385-3-RESULT1,High,High,Low,Low
5385,3,RESULT2,2,0.73144,0.36572,0.16455,0.53027,0,0.0,499.42968669999993,96.74395770000001,9.067549668,193.48791540000002,96.74395770000001,2.544480713,339.5333478,169.7666739,6.048732889,1.064292727,0.532146364,0.05674,1.064292727,0.532146364,0.05674,0,0.0,0.0,English,English,No,Yes,5385-3-RESULT2,High,High,Low,Low
5385,3,RESULT3,8,4.44824,0.55603,0.352802469,1.14648,0,0.0,1616.59043,43.20155344,155.1256517,345.61242749999997,43.20155344,72.06846423,933.3647302999999,116.6705913,47.07476615,3.0456209089999997,0.380702614,0.21260430800000002,3.0456209089999997,0.380702614,0.21260430800000002,0,0.0,0.0,English,English,No,Yes,5385-3-RESULT3,High,High,Low,Low
5385,3,RESULT4,19,14.04199,0.739052105,0.776865437,2.8203099999999997,3,0.15789473699999998,3951.3063810000003,29.62261882,186.9777129,562.8297575,29.62261882,110.6600492,2044.780395,107.62002079999999,60.08534613,2.556044545,0.142002475,0.22008009,2.556044545,0.142002475,0.22008009,0,0.0,0.0,Chinese,English,Yes,No,5385-3-RESULT4,High,High,Low,Low
5385,3,RESULT5,10,9.687510000000001,0.968751,0.7213316940000001,2.89453,0,0.0,1853.257362,34.26542629,182.8411382,342.6542629,34.26542629,81.35971049999999,880.1462471000001,88.01462471,68.53320911,-0.448946364,-0.044894635999999995,0.121062435,-0.448946364,-0.044894635999999995,0.121062435,0,0.0,0.0,Chinese,Chinese,No,No,5385-3-RESULT5,High,High,Low,Low
5385,3,RESULT6,1,0.51563,0.51563,0.0,0.51563,0,0.0,175.53587480000002,168.3142813,0.0,168.3142813,168.3142813,0.0,60.49493463,60.49493463,0.0,0.092246364,0.092246364,0.0,0.092246364,0.092246364,0.0,0,0.0,0.0,Chinese,Chinese,No,No,5385-3-RESULT6,High,High,Low,Low
5385,4,RESULT1,10,1.85352,0.185352,0.068704977,0.30176,0,0.0,1128.0985460000002,0.44086102,79.57956499,4.408610195,0.44086102,85.48525609,918.9945892000001,91.89945892,64.05819148,7.571853636,0.757185364,0.32802898,7.571853636,0.757185364,0.32802898,0,0.0,0.0,Chinese,Chinese,No,No,5385-4-RESULT1,High,High,Low,Low
5385,4,RESULT2,21,5.12791,0.24418619,0.135802274,0.55566,4,0.19047619,2162.279638,19.44154756,76.78770322,408.2724988,19.44154756,85.86146062,2233.382141,106.3515305,57.45621351,14.54108364,0.692432554,0.233826297,14.54108364,0.692432554,0.233826297,0,0.0,0.0,English,Chinese,Yes,Yes,5385-4-RESULT2,High,High,Low,Low
5385,4,RESULT3,7,1.52637,0.218052857,0.11173112199999999,0.44922,0,0.0,1311.188507,24.74991903,155.5605847,173.2494332,24.74991903,73.04417193,720.2663163999999,102.8951881,58.08860244,3.568264545,0.509752078,0.16917918,3.568264545,0.509752078,0.16917918,0,0.0,0.0,Chinese,English,Yes,No,5385-4-RESULT3,High,High,Low,Low
5385,4,RESULT4,21,6.9219,0.32961428600000003,0.147772769,0.69727,1,0.047619048,2395.55165,11.38811197,106.0866538,239.15035130000004,11.38811197,93.55059294,2223.748066,105.892765,51.17580487,5.743083636000001,0.273480173,0.301864674,5.743083636000001,0.273480173,0.301864674,0,0.0,0.0,English,Chinese,Yes,Yes,5385-4-RESULT4,High,High,Low,Low
