@relation all_users_page

@attribute userID numeric
@attribute Page numeric
@attribute Total_Fixation_Count numeric
@attribute Total_Fixation_Duration numeric
@attribute Average_Fixation_Duration numeric
@attribute Fixation_Duration_SD numeric
@attribute Longest_Fixation_Duration numeric
@attribute Total_Refixation_Count numeric
@attribute Refixation_Ratio numeric
@attribute Total_Saccade_Length numeric
@attribute Average_Saccade_Length numeric
@attribute Saccade_Length_SD numeric
@attribute Total_Saccade_Absolute_Angle numeric
@attribute Average_Saccade_Absolute_Angle numeric
@attribute Saccade_Absolute_Angle_SD numeric
@attribute Total_Saccade_Relative_Angle numeric
@attribute Average_Saccade_Relative_Angle numeric
@attribute Saccade_Relative_Angle_SD numeric
@attribute Total_Left_Eye_Difference numeric
@attribute Average_Left_Eye_Difference numeric
@attribute Left_Eye_Difference_SD numeric
@attribute Total_Right_Eye_Difference numeric
@attribute Average_Right_Eye_Difference numeric
@attribute Right_Eye_Difference_SD numeric
@attribute Blink_Count numeric
@attribute Total_Blink_Duration numeric
@attribute Average_Blink_Duration numeric
@attribute 'Number of English AOIs' numeric
@attribute L1 {Chinese,English,Both}
@attribute 'Eng Prof (Self)' {Low,High,Medium}
@attribute 'Eng Prof (Test)' {Low,High,Medium}
@attribute 'Chinese/Spanish Prof (Self)' {High,Low,Medium}
@attribute 'Chinese/Spanish Prof (Test)' {High,Low,Medium}

@data
3545,11,155,37.14679,0.239657,0.125645,0.84424,14,0.090323,17583.361767,5.295261,107.423501,820.765454,5.295261,103.4016,15541.651163,100.268717,52.040811,4.494792,0.029187,0.330611,4.494792,0.029187,0.330611,1,0.12278,0.12278,3,Chinese,Low,Low,High,High
3545,12,86,21.90333,0.25469,0.116751,0.75659,11,0.127907,7634.608696,12.071822,85.157859,1038.176705,12.071822,101.267769,7910.253616,91.979693,60.629767,6.820648,0.081198,0.330786,6.820648,0.081198,0.330786,1,0.09306,0.09306,0,Chinese,Low,Low,High,High
3545,13,42,9.31617,0.221814,0.107573,0.62305,1,0.02381,4782.035221,17.484418,129.580623,734.345568,17.484418,96.95775,4580.626867,109.062544,52.258212,3.013603,0.073503,0.305651,3.013603,0.073503,0.305651,0,0,0,3,Chinese,Low,Low,High,High
3545,14,48,11.26663,0.234721,0.105658,0.54956,0,0,4759.305539,6.129832,113.989409,294.231949,6.129832,94.641509,5168.894612,107.685304,52.386279,-2.557529,-0.053282,0.333795,-2.557529,-0.053282,0.333795,0,0,0,3,Chinese,Low,Low,High,High
3545,15,214,48.24269,0.225433,0.126809,0.91089,44,0.205607,18130.418355,0.160914,78.007328,34.435509,0.160914,91.356088,21073.10421,98.47245,56.112256,16.332883,0.077042,0.281771,16.332883,0.077042,0.281771,2,0.26184,0.13092,6,Chinese,Low,Low,High,High
3545,16,102,24.59424,0.24112,0.146688,1.01831,7,0.068627,10681.086226,6.192866,105.218513,631.672366,6.192866,98.075307,9650.853831,94.616214,59.213918,17.165886,0.169959,0.30432,17.165886,0.169959,0.30432,0,0,0,3,Chinese,Low,Low,High,High
3545,17,174,38.16948,0.219365,0.108056,0.70313,31,0.178161,16276.044392,4.679444,92.225059,814.223315,4.679444,101.198667,16309.159487,93.730802,55.059913,30.359769,0.178587,0.30266,30.359769,0.178587,0.30266,4,0.44482,0.111205,0,Chinese,Low,Low,High,High
3545,18,117,26.89286,0.229854,0.118292,0.78052,22,0.188034,8931.24337,6.450882,70.641639,754.753209,6.450882,89.989462,11915.482064,101.841727,59.153445,20.434562,0.17616,0.29613,20.434562,0.17616,0.29613,2,0.1281,0.06405,3,Chinese,Low,Low,High,High
3545,19,137,30.78811,0.224731,0.105158,0.59619,20,0.145985,12591.229256,2.261989,100.968213,309.892466,2.261989,97.314038,13393.471665,97.762567,55.913906,15.86663,0.119298,0.314618,15.86663,0.119298,0.314618,1,0.12075,0.12075,3,Chinese,Low,Low,High,High
3545,20,51,10.73465,0.210483,0.07889,0.44092,6,0.117647,3688.435378,21.375425,58.102207,1090.146656,21.375425,95.92421,5761.033707,112.961445,48.978162,1.800702,0.036749,0.329331,1.800702,0.036749,0.329331,2,0.21119,0.105595,6,Chinese,Low,Low,High,High
3545,21,85,21.0039,0.247105,0.139174,0.72339,9,0.105882,10703.271189,22.2524,135.195452,1891.453968,22.2524,92.301052,9189.429732,108.110938,58.008023,10.732137,0.129303,0.348222,10.732137,0.129303,0.348222,0,0,0,3,Chinese,Low,Low,High,High
3545,22,107,25.78102,0.240944,0.112206,0.58911,9,0.084112,10300.082707,3.477209,102.048708,372.061354,3.477209,98.1704,11169.734909,104.390046,55.18167,15.406728,0.14958,0.29312,15.406728,0.14958,0.29312,1,0.08998,0.08998,0,Chinese,Low,Low,High,High
3545,23,72,17.05226,0.236837,0.121733,0.66309,5,0.069444,8996.778679,3.746297,140.864085,269.733394,3.746297,99.258269,6656.200165,92.447225,57.721375,6.143586,0.085328,0.301103,6.143586,0.085328,0.301103,0,0,0,3,Chinese,Low,Low,High,High
3545,24,265,54.76624,0.206665,0.115445,0.8374,51,0.192453,24370.873482,8.380196,106.254849,2220.7519,8.380196,98.034504,26602.221574,100.385742,55.095565,74.338095,0.28482,0.362956,74.338095,0.28482,0.362956,0,0,0,3,Chinese,Low,Low,High,High
3545,25,227,49.71824,0.219023,0.137082,0.89063,45,0.198238,26270.206997,18.934045,115.970696,4298.028127,18.934045,103.031632,19639.437908,86.517348,53.396171,33.786299,0.162434,0.335282,33.786299,0.162434,0.335282,4,0.46634,0.116585,6,Chinese,Low,Low,High,High
3545,26,159,35.11138,0.220826,0.108522,0.74414,20,0.125786,19016.822678,1.450017,115.802601,230.552697,1.450017,99.382811,14361.922765,90.326558,59.682784,9.966862,0.06472,0.296924,9.966862,0.06472,0.296924,1,0.10795,0.10795,3,Chinese,Low,Low,High,High
3545,27,74,18.27981,0.247024,0.137833,0.95068,7,0.094595,8197.162684,18.145984,106.337014,1342.802828,18.145984,99.655471,7136.508385,96.439303,61.369534,12.215867,0.167341,0.38687,12.215867,0.167341,0.38687,0,0,0,0,Chinese,Low,Low,High,High
3545,28,148,31.3628,0.211911,0.122104,0.9043,18,0.121622,17507.457775,7.31041,113.783523,1081.940639,7.31041,92.726274,14534.942701,98.209072,59.587639,26.051392,0.180912,0.358327,26.051392,0.180912,0.358327,2,0.2356,0.1178,3,Chinese,Low,Low,High,High
3545,29,55,12.3413,0.224387,0.110559,0.66992,6,0.109091,5844.902659,17.530537,85.77766,964.179535,17.530537,108.96489,4851.712515,88.212955,61.052274,7.142128,0.129857,0.344334,7.142128,0.129857,0.344334,0,0,0,3,Chinese,Low,Low,High,High
3545,30,111,26.90968,0.24243,0.164879,0.92529,24,0.216216,12967.451095,24.60435,118.672788,2731.08282,24.60435,95.833372,9271.066508,83.523122,56.292208,15.020624,0.13908,0.378147,15.020624,0.13908,0.378147,0,0,0,6,Chinese,Low,Low,High,High
5890,1,87,35.06738,0.403073,0.384356,2.39844,10,0.114943,14666.911169,14.455915,218.622746,1257.664614,14.455915,105.231311,8413.543919,96.707401,60.283412,21.46357,0.268295,0.276118,21.46357,0.268295,0.276118,3,0.33975,0.11325,3,English,High,High,Low,Low
5890,2,62,20.52443,0.331039,0.202215,0.91699,5,0.080645,8812.146799,31.89314,123.402418,1977.374677,31.89314,81.317999,6083.855998,98.12671,72.560336,7.666652,0.123656,0.279675,7.666652,0.123656,0.279675,0,0,0,0,English,High,High,Low,Low
5890,3,87,25.46775,0.292733,0.168629,1.14551,6,0.068966,13585.59599,35.983771,140.575402,3130.588052,35.983771,95.580767,7125.275901,81.899723,63.599472,24.772906,0.288057,0.322859,24.772906,0.288057,0.322859,2,0.20919,0.104595,3,English,High,High,Low,Low
5890,4,60,19.17776,0.319629,0.169992,0.82422,5,0.083333,8831.977497,31.56498,148.599398,1893.898806,31.56498,100.985603,4935.881147,82.264686,68.536299,12.578422,0.220674,0.273395,12.578422,0.220674,0.273395,1,0.08983,0.08983,3,English,High,High,Low,Low
5890,5,29,7.63573,0.263301,0.092318,0.46387,1,0.034483,4493.218363,38.863289,130.599083,1127.035369,38.863289,99.012984,2305.548533,79.501674,63.187443,6.704014,0.231173,0.296339,6.704014,0.231173,0.296339,1,0.07781,0.07781,6,English,High,High,Low,Low
5890,6,43,15.14942,0.352312,0.203642,0.86426,1,0.023256,6636.835081,35.876483,130.505906,1542.688764,35.876483,88.553269,4297.713493,99.946825,70.403299,16.963608,0.394503,0.275248,16.963608,0.394503,0.275248,0,0,0,3,English,High,High,Low,Low
5890,7,71,23.73246,0.33426,0.218053,1.4668,6,0.084507,10012.980886,23.331311,146.979879,1656.523087,23.331311,97.933367,6781.088003,95.508282,70.674869,22.346686,0.314742,0.291605,22.346686,0.314742,0.291605,0,0,0,0,English,High,High,Low,Low
5890,8,30,9.46778,0.315593,0.203299,1.25879,4,0.133333,4982.954154,36.225977,162.83356,1086.779298,36.225977,73.553661,2812.193018,93.739767,66.10094,6.96892,0.232297,0.244275,6.96892,0.232297,0.244275,0,0,0,3,English,High,High,Low,Low
5890,9,30,6.26272,0.208757,0.113665,0.50293,0,0,5923.926189,38.341413,150.896414,1150.242387,38.341413,98.229281,3013.909145,100.463638,66.31987,10.068978,0.359606,0.362751,10.068978,0.359606,0.362751,1,0.03418,0.03418,3,English,High,High,Low,Low
5890,10,27,6.70313,0.248264,0.126097,0.57617,1,0.037037,3947.422102,14.205,112.072967,383.53501,14.205,96.478698,2559.891052,94.81078,62.899122,6.659946,0.256152,0.218763,6.659946,0.256152,0.218763,1,0.08669,0.08669,6,English,High,High,Low,Low
5890,11,88,30.01565,0.341087,0.170496,0.89746,4,0.045455,14712.160771,40.917096,174.60435,3600.704448,40.917096,84.192271,8429.97627,95.795185,74.938645,19.398232,0.222968,0.326097,19.398232,0.222968,0.326097,3,0.25933,0.086443,3,English,High,High,Low,Low
5890,12,39,14.56934,0.373573,0.223666,1.10352,1,0.025641,4725.465767,13.848614,107.233608,540.095961,13.848614,87.93613,3522.414578,90.318323,71.825302,2.568814,0.065867,0.221528,2.568814,0.065867,0.221528,1,0.11776,0.11776,0,English,High,High,Low,Low
5890,13,42,11.21678,0.267066,0.102121,0.57617,1,0.02381,6442.304967,25.814244,112.463851,1084.198258,25.814244,109.670865,3851.176862,91.694687,74.321738,8.155452,0.194177,0.145129,8.155452,0.194177,0.145129,1,0.08611,0.08611,3,English,High,High,Low,Low
5890,14,76,22.20608,0.292185,0.155898,0.76367,1,0.013158,9155.251334,29.479275,120.566173,2240.424876,29.479275,88.448414,7184.372276,94.531214,66.396441,18.631134,0.251772,0.332532,18.631134,0.251772,0.332532,0,0,0,3,English,High,High,Low,Low
5890,15,92,23.94536,0.260276,0.139774,1.13184,5,0.054348,15474.124512,27.619493,167.256081,2540.993311,27.619493,94.905176,9082.137195,98.718883,69.26092,15.392286,0.169146,0.246232,15.392286,0.169146,0.246232,0,0,0,6,English,High,High,Low,Low
5890,16,79,26.0596,0.329868,0.20797,1.22656,7,0.088608,10820.803494,30.83317,119.595917,2435.820445,30.83317,88.890897,7623.829393,96.50417,60.762681,29.822004,0.377494,0.276912,29.822004,0.377494,0.276912,1,0.09058,0.09058,3,English,High,High,Low,Low
5890,17,55,17.42775,0.316868,0.191705,1.125,2,0.036364,9431.038604,39.775029,174.222042,2187.626617,39.775029,89.944204,5637.773918,102.50498,69.987699,8.024978,0.151415,0.285151,8.024978,0.151415,0.285151,3,0.34869,0.11623,0,English,High,High,Low,Low
