Page,AOI_TYPE,Blink_Count,Total_Blink_Duration,Average_Blink_Duration
0,QUERY,1,0.1619,0.1619
0,RESULT1,0,0.0,0.0
0,RESULT2,1,0.13417,0.13417
0,RESULT3,0,0.0,0.0
0,RESULT4,3,1.0563,0.3521
0,RESULT5,0,0.0,0.0
0,RESULT6,0,0.0,0.0
0,NOT_AOI,57,16.00163,0.28073035087719295
1,QUERY,0,0.0,0.0
1,RESULT1,2,0.39696,0.19848
1,RESULT2,1,0.22367,0.22367
1,RESULT3,2,0.38641000000000003,0.19320500000000002
1,RESULT4,3,0.69772,0.23257333333333333
1,RESULT5,5,0.93123,0.186246
1,RESULT6,2,0.66529,0.332645
1,NOT_AOI,27,4.439819999999999,0.16443777777777774
2,QUERY,2,0.27557,0.137785
2,RESULT1,1,0.18708,0.18708
2,RESULT2,2,0.34599,0.172995
2,RESULT3,2,0.35756,0.17878
2,RESULT4,1,0.21857,0.21857
2,RESULT5,0,0.0,0.0
2,RESULT6,1,0.13718,0.13718
2,NOT_AOI,22,3.6099499999999995,0.16408863636363635
3,QUERY,2,0.25932,0.12966
3,RESULT1,2,0.30602000000000007,0.15301000000000003
3,RESULT2,5,1.01895,0.20379
3,RESULT3,2,0.32183,0.160915
3,RESULT4,1,0.20792,0.20792
3,RESULT5,0,0.0,0.0
3,RESULT6,1,0.15997,0.15997
3,NOT_AOI,44,8.084999999999997,0.18374999999999994
4,QUERY,2,0.32893,0.164465
4,RESULT1,1,0.11425,0.11425
4,RESULT2,0,0.0,0.0
4,RESULT3,0,0.0,0.0
4,RESULT4,0,0.0,0.0
4,RESULT5,0,0.0,0.0
4,RESULT6,1,0.07203,0.07203
4,NOT_AOI,17,3.35416,0.19730352941176468
5,QUERY,3,0.41196,0.13732
5,RESULT1,1,0.13867000000000002,0.13867000000000002
5,RESULT2,1,0.12561,0.12561
5,RESULT3,2,0.34295,0.171475
5,RESULT4,2,0.24433000000000002,0.12216500000000001
5,RESULT5,2,0.3641,0.18205
5,RESULT6,1,0.22491,0.22491
5,NOT_AOI,24,3.8926,0.16219166666666665
6,QUERY,0,0.0,0.0
6,RESULT1,1,0.5270600000000001,0.5270600000000001
6,RESULT2,0,0.0,0.0
6,RESULT3,1,0.18511,0.18511
6,RESULT4,1,0.13859000000000002,0.13859000000000002
6,RESULT5,0,0.0,0.0
6,RESULT6,0,0.0,0.0
6,NOT_AOI,8,1.3896199999999999,0.17370249999999998
7,QUERY,0,0.0,0.0
7,RESULT1,1,0.17915,0.17915
7,RESULT2,2,0.31689999999999996,0.15844999999999998
7,RESULT3,0,0.0,0.0
7,RESULT4,0,0.0,0.0
7,RESULT5,0,0.0,0.0
7,RESULT6,1,0.02824,0.02824
7,NOT_AOI,18,2.9217400000000002,0.1623188888888889
8,QUERY,0,0.0,0.0
8,RESULT1,2,0.31064,0.15532
8,RESULT2,1,0.1737,0.1737
8,RESULT3,0,0.0,0.0
8,RESULT4,0,0.0,0.0
8,RESULT5,0,0.0,0.0
8,RESULT6,1,0.06723,0.06723
8,NOT_AOI,11,1.5223500000000003,0.13839545454545457
9,QUERY,0,0.0,0.0
9,RESULT1,1,0.14202,0.14202
9,RESULT2,0,0.0,0.0
9,RESULT3,1,0.18113,0.18113
9,RESULT4,1,0.12602,0.12602
9,RESULT5,0,0.0,0.0
9,RESULT6,0,0.0,0.0
9,NOT_AOI,6,0.99135,0.16522499999999998
10,QUERY,0,0.0,0.0
10,RESULT1,2,0.36717,0.183585
10,RESULT2,1,0.05875,0.05875
10,RESULT3,0,0.0,0.0
10,RESULT4,0,0.0,0.0
10,RESULT5,0,0.0,0.0
10,RESULT6,0,0.0,0.0
10,NOT_AOI,16,2.76527,0.172829375
11,QUERY,0,0.0,0.0
11,RESULT1,2,0.35536,0.17768
11,RESULT2,4,0.55031,0.1375775
11,RESULT3,0,0.0,0.0
11,RESULT4,0,0.0,0.0
11,RESULT5,0,0.0,0.0
11,RESULT6,0,0.0,0.0
11,NOT_AOI,9,1.2885799999999998,0.14317555555555553
12,QUERY,0,0.0,0.0
12,RESULT1,2,0.3341,0.16705
12,RESULT2,1,0.18177,0.18177
12,RESULT3,0,0.0,0.0
12,RESULT4,0,0.0,0.0
12,RESULT5,1,0.17396,0.17396
12,RESULT6,0,0.0,0.0
12,NOT_AOI,5,0.90707,0.18141400000000002
13,QUERY,1,0.21713,0.21713
13,RESULT1,1,0.1586,0.1586
13,RESULT2,0,0.0,0.0
13,RESULT3,0,0.0,0.0
13,RESULT4,0,0.0,0.0
13,RESULT5,0,0.0,0.0
13,RESULT6,0,0.0,0.0
13,NOT_AOI,17,3.4384300000000008,0.20226058823529416
14,QUERY,1,0.10591,0.10591
14,RESULT1,3,0.44362999999999997,0.14787666666666666
14,RESULT2,0,0.0,0.0
14,RESULT3,0,0.0,0.0
14,RESULT4,0,0.0,0.0
14,RESULT5,0,0.0,0.0
14,RESULT6,0,0.0,0.0
14,NOT_AOI,16,2.8612999999999995,0.17883124999999997
15,QUERY,0,0.0,0.0
15,RESULT1,2,0.30842,0.15421
15,RESULT2,1,0.09414,0.09414
15,RESULT3,2,0.39105,0.195525
15,RESULT4,0,0.0,0.0
15,RESULT5,0,0.0,0.0
15,RESULT6,1,0.22007,0.22007
15,NOT_AOI,19,3.2551800000000006,0.17132526315789476
16,QUERY,1,0.17689000000000002,0.17689000000000002
16,RESULT1,0,0.0,0.0
16,RESULT2,0,0.0,0.0
16,RESULT3,1,0.20969,0.20969
16,RESULT4,0,0.0,0.0
16,RESULT5,0,0.0,0.0
16,RESULT6,0,0.0,0.0
16,NOT_AOI,9,0.9369,0.1041
17,QUERY,1,0.16539,0.16539
17,RESULT1,1,0.14916,0.14916
17,RESULT2,0,0.0,0.0
17,RESULT3,1,0.15521,0.15521
17,RESULT4,0,0.0,0.0
17,RESULT5,0,0.0,0.0
17,RESULT6,0,0.0,0.0
17,NOT_AOI,9,1.6874,0.1874888888888889
18,QUERY,0,0.0,0.0
18,RESULT1,0,0.0,0.0
18,RESULT2,0,0.0,0.0
18,RESULT3,0,0.0,0.0
18,RESULT4,1,0.15275,0.15275
18,RESULT5,1,0.17102,0.17102
18,RESULT6,0,0.0,0.0
18,NOT_AOI,10,1.3787699999999998,0.13787699999999997
