Average_Fixation_Duration,Fixation_Duration_SD,Longest_Fixation_Duration,Refixation_Ratio,Average_Saccade_Length,Saccade_Length_SD,Average_Saccade_Absolute_Angle,Saccade_Absolute_Angle_SD,Average_Saccade_Relative_Angle,Saccade_Relative_Angle_SD,Average_Left_Eye_Difference,Left_Eye_Difference_SD,Average_Right_Eye_Difference,Right_Eye_Difference_SD,Blink_Count,Average_Blink_Duration,LanguageSwitch,CEFR Median
0.18367346899999998,0.11600833699999999,0.5,0.10204081599999999,-25.10851849,554.0345017000001,-25.10851849,95.78627932,91.48830115,58.76188511,-0.14116890199999999,0.255554316,-0.14116890199999999,0.255554316,1,0.08505,Yes,High
0.280769231,0.16412760199999998,0.875,0.215384615,23.61538914,97.26432815,23.61538914,95.65369105,92.17126277,59.43295237,0.35563415,0.37606207700000005,0.35563415,0.37606207700000005,2,0.0826,Yes,High
0.319444444,0.38010922700000005,1.625,0.0,31.15525711,144.40215869999997,31.15525711,86.07639774,88.11968062,54.9800198,-0.054133583,0.243713011,-0.054133583,0.243713011,3,0.08869666699999999,Yes,High
0.223214286,0.19581885899999998,0.75,0.0,-16.52076678,284.8839041,-16.52076678,84.00110701,86.57683064,48.23854143,0.131871039,0.269782547,0.131871039,0.269782547,1,0.07625,Yes,High
0.17763157899999998,0.101920614,0.375,0.15789473699999998,-4.963313631,194.8707072,-4.963313631,96.98067068,95.06279103,49.21643128,0.155543182,0.437977164,0.155543182,0.437977164,0,0.0,No,High
0.208333333,0.135184518,0.5,0.15789473699999998,-4.645584109,346.0755998,-4.645584109,86.09272517,103.6659759,54.43040798,0.080878182,0.476244839,0.080878182,0.476244839,3,0.18872333300000002,No,High
0.5902777779999999,0.424520881,1.625,0.0,15.656632199999999,126.04582759999998,15.656632199999999,87.16806514,81.89591335,61.4764126,-0.179068068,0.303873599,-0.179068068,0.303873599,2,0.14416500000000002,Yes,High
0.340277778,0.130474265,0.5,0.055555556,14.07923573,114.44065090000001,14.07923573,67.55021445,105.7047814,66.78792331,-0.333758693,0.165588619,-0.333758693,0.165588619,1,0.09663,No,High
0.40625,0.223169638,1.0,0.166666667,38.1167136,221.14520840000003,38.1167136,84.58263731,105.04391329999999,52.34263931,-0.414310909,0.27111211399999996,-0.414310909,0.27111211399999996,0,0.0,No,High
0.18452381,0.147494187,0.5,0.047619048,-14.28651819,252.75545330000003,-14.28651819,93.28452170000001,84.80081628,59.34051483,0.129449134,0.523401783,0.129449134,0.523401783,0,0.0,No,High
