Average_Fixation_Duration,Fixation_Duration_SD,Longest_Fixation_Duration,Refixation_Ratio,Average_Saccade_Length,Saccade_Length_SD,Average_Saccade_Absolute_Angle,Saccade_Absolute_Angle_SD,Average_Saccade_Relative_Angle,Saccade_Relative_Angle_SD,Average_Left_Eye_Difference,Left_Eye_Difference_SD,Average_Right_Eye_Difference,Right_Eye_Difference_SD,Blink_Count,Average_Blink_Duration,Number of English AOIs,CEFR Median
0.252777778,0.18274315800000002,1.625,0.133333333,19.57178007,296.0571148,19.57178007,95.27872529,95.14763586,58.6799717,0.080263135,0.43031826100000004,0.080263135,0.43031826100000004,8,0.09355875,3,High
0.25,0.19144983,1.375,0.135514019,14.34900646,524.9385995,14.34900646,88.76426848,98.0677116,58.39607649,0.066984293,0.419861321,0.066984293,0.419861321,5,0.154808,3,High
0.360491071,0.25428555399999997,1.625,0.053571429000000004,18.90902243,437.13866229999996,18.90902243,87.66177474,99.61646834,61.65588175,0.044637192,0.46671794899999997,0.044637192,0.46671794899999997,7,0.116895714,3,High
0.325342466,0.34790205799999996,2.75,0.089041096,4.191006317,234.6306509,4.191006317,94.11977793,85.43969112,58.73523978,-0.077874927,0.43487349200000003,-0.077874927,0.43487349200000003,4,0.108215,0,High
0.266927083,0.235669889,1.5,0.041666667000000004,1.654143963,188.4844976,1.654143963,95.27597661,93.55152594,60.91837752,-0.21764688,0.481011216,-0.21764688,0.481011216,3,0.139746667,3,High
0.245967742,0.284247978,2.5,0.075268817,10.45255359,326.5092278,10.45255359,92.36603582,89.86076524,60.78877177,-0.17515003199999998,0.425760719,-0.17515003199999998,0.425760719,3,0.10599000000000001,3,High
0.255434783,0.178605182,0.75,0.057971014,15.197591000000001,600.3449417,15.197591000000001,91.72152789,96.22061186,57.12408406,-0.315099523,0.393604279,-0.315099523,0.393604279,4,0.114505,3,High
0.147916667,0.086877748,0.5,0.033333333,19.11066582,786.2391172,19.11066582,101.6307194,89.64331694,54.15946905,0.308574917,0.44836040200000005,0.308574917,0.44836040200000005,3,0.13551,0,High
0.30199115,0.238522869,1.25,0.088495575,4.160423778999999,130.87508970000002,4.160423778999999,90.85208686,104.38556899999999,59.48012241,-0.147895923,0.395725437,-0.147895923,0.395725437,10,0.13986600000000002,3,High
0.22752809,0.159618794,0.875,0.08988764,-6.214497626,449.5407205,-6.214497626,93.95814898,105.88909209999998,53.52841555,-0.039213068,0.43295267299999995,-0.039213068,0.43295267299999995,6,0.12855333300000002,3,High
0.189338235,0.149282363,0.75,0.088235294,4.603505311,696.1449392000001,4.603505311,99.88161385,83.58432954,57.87788392,-0.190323357,0.496538185,-0.190323357,0.496538185,3,0.161396667,3,High
0.322704082,0.306666714,2.625,0.091836735,12.33978042,284.5529425,12.33978042,93.70551415,85.47192469,58.07238639,-0.32316623699999997,0.386534234,-0.32316623699999997,0.386534234,9,0.12357,0,High
0.2975,0.263260802,1.75,0.04,19.73284681,229.7868017,19.73284681,97.45699055,90.93710301,59.81614712,-0.19018901300000002,0.388090503,-0.19018901300000002,0.388090503,4,0.1220425,3,High
0.222222222,0.125385209,0.625,0.027777778,32.90166126,160.0864035,32.90166126,86.16824997,92.39773847,59.10133137,-0.050667335,0.372591151,-0.050667335,0.372591151,3,0.11604666699999999,3,High
0.28837719300000003,0.282981848,2.25,0.122807018,25.33863351,131.9852663,25.33863351,98.11987946,104.3144997,57.95016911,0.01043,0.40855786899999996,0.01043,0.40855786899999996,13,0.142898462,3,High
0.41666666700000005,0.310409676,1.5,0.055555556,29.597958399999996,161.3451029,29.597958399999996,88.33331628,94.50943167,62.10166149,-0.253169152,0.419280284,-0.253169152,0.419280284,2,0.12969,0,High
0.18008474600000002,0.147850393,0.625,0.06779661,13.87571556,282.259027,13.87571556,93.86324826,88.11638740000001,56.78142403,0.152601753,0.431586564,0.152601753,0.431586564,2,0.12989,3,High
0.238636364,0.130062763,0.625,0.0,38.79680719,313.46419879999996,38.79680719,81.36090164,89.12061091,53.48056170000001,0.040052273,0.315489052,0.040052273,0.315489052,1,0.15117,3,High
0.302325581,0.242971787,1.0,0.093023256,27.06628011,206.69504780000003,27.06628011,92.20787178,87.94018769,60.24612432,-0.135172344,0.303091061,-0.135172344,0.303091061,2,0.12696500000000002,3,High
0.25,0.17251639,0.75,0.095238095,12.18254777,348.9957938,12.18254777,104.3082821,90.96771928,58.08914482,-0.029489532000000002,0.324290228,-0.029489532000000002,0.324290228,1,0.07893,0,High
0.20982142899999998,0.20608373,1.125,0.071428571,5.463506754,585.7921629,5.463506754,99.57194371,79.19578172,53.79209777,0.260601753,0.393702682,0.260601753,0.393702682,0,0.0,3,High
0.125,0.072168784,0.25,0.0,7.723272196,951.3963259,7.723272196,120.0985871,92.29154235,64.65201139999999,0.484276515,0.77629926,0.484276515,0.77629926,0,0.0,3,High
0.107142857,0.043740888,0.125,0.0,9.501713718,1090.7141279999998,9.501713718,93.47535801,87.06243286,50.47815846,-0.020601818,0.614001865,-0.020601818,0.614001865,1,0.09652000000000001,3,High
0.125,0.0,0.125,0.0,-7.995613833999999,801.6676464999999,-7.995613833999999,85.58982888,87.61068155,86.9399706,0.127135682,0.497467916,0.127135682,0.497467916,0,0.0,0,High
0.08490566,0.059595655,0.25,0.056603774,-4.08506206,690.0066232,-4.08506206,101.2939083,101.3374816,58.88874398,1.036483912,0.829375168,1.036483912,0.829375168,0,0.0,3,Low
0.150152439,0.08040707,0.4375,0.048780488,1.028812612,476.9655097,1.028812612,98.37894032,99.24560177,52.90725492,-0.282835907,0.46982863700000005,-0.282835907,0.46982863700000005,1,0.10615,3,Low
0.128707627,0.09516668800000001,0.625,0.13983050800000002,6.472302452999999,425.0679463000001,6.472302452999999,101.79570809999998,90.73392778,56.70732811,0.381657143,0.552657987,0.381657143,0.552657987,2,0.06515,3,Low
0.18225,0.15457785300000002,1.0,0.132,7.791855634,585.2425603999999,7.791855634,102.34655620000001,91.6856863,56.14067693,-0.446785208,0.5617591789999999,-0.446785208,0.5617591789999999,7,0.183407143,0,Low
0.099901575,0.057239139,0.3125,0.07086614200000001,1.310763387,785.0220027,1.310763387,99.84491258,86.43125132,53.56589347,0.606794672,1.593513606,0.606794672,1.593513606,0,0.0,3,Low
0.077034884,0.062988223,0.3125,0.069767442,4.493039803,763.6808916,4.493039803,95.02518984,68.57265743,52.24543755,0.34736302,1.067009225,0.34736302,1.067009225,3,0.11137000000000001,3,Low
0.052884615,0.048076923,0.125,0.0,21.67460544,601.5141215,21.67460544,92.58822542,81.61965635,54.65248143,-0.588744985,0.563012069,-0.588744985,0.563012069,0,0.0,3,Low
0.125,0.098821177,0.5,0.064516129,11.37941372,547.1538719,11.37941372,96.89925569,79.44858227,53.42757165,0.000355106,0.705232995,0.000355106,0.705232995,1,0.09881000000000001,0,Low
0.1,0.072886899,0.3125,0.0,-21.461119399999998,377.7755439,-21.461119399999998,98.5049525,84.00753353,62.51974682,0.9759482970000001,2.476702396,0.9759482970000001,2.476702396,0,0.0,3,Low
0.0625,0.047245559000000006,0.125,0.0,46.324399799999995,381.69463310000003,46.324399799999995,91.76422845,41.04114162,56.18857686,-0.685185591,0.8353937929999999,-0.685185591,0.8353937929999999,1,0.05996,3,Low
0.179166667,0.104249967,0.4375,0.033333333,32.23432348,3134.6171280000003,32.23432348,94.60139908,90.03521085,56.00173573,-0.355959499,0.357929406,-0.355959499,0.357929406,0,0.0,3,Low
0.25462963,0.18076317600000003,0.75,0.0,18.60217256,232.67399080000004,18.60217256,85.0674002,99.80444977,61.39505902,-0.308787675,0.31837059300000004,-0.308787675,0.31837059300000004,0,0.0,0,Low
0.16256157599999999,0.10423969300000001,0.5625,0.113300493,14.882950199999998,320.8370167,14.882950199999998,97.55913120000001,97.10751634,53.82184670000001,0.444959062,0.7980891720000001,0.444959062,0.7980891720000001,3,0.12650999999999998,3,Low
