userID,Page,Total_Fixation_Count,Total_Fixation_Duration,Average_Fixation_Duration,Fixation_Duration_SD,Longest_Fixation_Duration,Total_Refixation_Count,Refixation_Ratio,Total_Saccade_Length,Average_Saccade_Length,Saccade_Length_SD,Total_Saccade_Absolute_Angle,Average_Saccade_Absolute_Angle,Saccade_Absolute_Angle_SD,Total_Saccade_Relative_Angle,Average_Saccade_Relative_Angle,Saccade_Relative_Angle_SD,Total_Left_Eye_Difference,Average_Left_Eye_Difference,Left_Eye_Difference_SD,Total_Right_Eye_Difference,Average_Right_Eye_Difference,Right_Eye_Difference_SD,Blink_Count,Total_Blink_Duration,Average_Blink_Duration
4458,1,203,81.09963999999998,0.3995056157635467,0.29927491502717407,2.41113,39,0.1921182266009852,21359.968585288294,11.720028884936841,120.04744069729043,2379.165863642179,11.720028884936841,97.8380666508628,19476.304859925134,95.9423884725376,62.83512504838606,4.7932017647058895,0.025360855897914758,0.23317688737166734,4.7932017647058895,0.025360855897914758,0.23317688737166734,8,0.94652,0.118315
4458,2,267,122.49653999999991,0.45878853932584235,0.4313829687624627,3.24561,39,0.14606741573033707,29004.20076289255,10.072293274903291,126.3451739745562,2689.302304399179,10.072293274903291,90.28040909214734,26509.912074368734,99.28806020362822,60.94155937247609,15.120882941176502,0.06574296930946305,0.31218504480255654,15.120882941176502,0.06574296930946305,0.31218504480255654,17,2.35726,0.1386623529411765
4458,3,179,82.98248,0.4635892737430167,0.5013178197522491,3.5883800000000003,19,0.10614525139664804,22150.33363106402,12.813486308633447,149.359058162694,2293.614049245387,12.813486308633447,89.37282597878124,18168.23542456861,101.49852192496431,63.22713084349099,5.633478235294138,0.03730780288274264,0.3631186485255376,5.633478235294138,0.03730780288274264,0.3631186485255376,5,0.6959299999999999,0.13918599999999998
4458,4,182,57.80125,0.31758928571428574,0.1917435151819351,1.09912,18,0.0989010989010989,20546.047196263895,17.485141169505553,140.16568027046037,3182.2956928500107,17.485141169505553,96.81605308806313,17398.317582723303,95.59515155342474,64.06381281901173,-3.4417747058823274,-0.02164638179800206,0.3090319146787341,-3.4417747058823274,-0.02164638179800206,0.3090319146787341,8,0.8868799999999999,0.11085999999999999
4458,5,246,100.37257000000005,0.40801857723577256,0.39203431395879934,3.80615,31,0.12601626016260162,36560.350825693706,0.7900658329639558,176.89820444397407,194.35619490913314,0.7900658329639558,93.31022260286115,24307.23823186652,98.80991151165252,61.31563055083173,15.130103529411805,0.06724490457516358,0.3342663433911894,15.130103529411805,0.06724490457516358,0.3342663433911894,12,1.4181799999999998,0.11818166666666664
4458,6,167,58.22418999999997,0.3486478443113771,0.24989830184220238,1.66748,23,0.1377245508982036,23206.439336593794,14.119146043540926,146.16852713656243,2357.8973892713348,14.119146043540926,93.85655597706318,16062.757330690667,96.18417563287825,64.25861462675958,7.659095882352949,0.04973438884644772,0.30967544017674914,7.659095882352949,0.04973438884644772,0.30967544017674914,11,1.3999499999999998,0.1272681818181818
4458,7,100,36.31791000000001,0.36317910000000014,0.2643958226602493,1.1992200000000002,7,0.07,12144.155492761896,25.39337240598412,115.07962063021454,2539.337240598412,25.39337240598412,97.47568288421166,9961.786628945423,99.61786628945423,67.71962379925847,5.707365294117653,0.06271829993535882,0.350115742249263,5.707365294117653,0.06271829993535882,0.350115742249263,4,0.45787999999999995,0.11446999999999999
4458,8,91,37.74904,0.4148246153846154,0.34661212580422285,1.72754,9,0.0989010989010989,9311.516177022599,18.620777231383283,101.1521133759558,1694.4907280558787,18.620777231383283,96.89346904480658,8647.402865517985,95.02640511558225,64.18480219126222,12.444843529411765,0.13982970257766028,0.3523153193785426,12.444843529411765,0.13982970257766028,0.3523153193785426,3,0.33871999999999997,0.11290666666666666
4458,9,173,52.18067000000001,0.3016223699421966,0.1671846080140487,1.11865,18,0.10404624277456648,21934.809324918133,8.48653758005787,128.8146700275791,1468.1710013500117,8.48653758005787,94.93177271356694,16930.72257881995,97.86544843248527,64.30929330760033,-2.907659411764687,-0.017622178253119316,0.3216999149441801,-2.907659411764687,-0.017622178253119316,0.3216999149441801,9,1.3439400000000001,0.1493266666666667
4458,10,104,43.44529999999998,0.41774326923076904,0.38340933281958367,2.0293,8,0.07692307692307693,12516.183843871544,12.540893685335393,110.45955028396901,1304.2529432748809,12.540893685335393,94.29805720707282,10610.057915330857,102.01978764741209,63.44221376401419,-4.264622941176456,-0.045856160657811354,0.3113384712072181,-4.264622941176456,-0.045856160657811354,0.3113384712072181,6,0.7781799999999999,0.12969666666666665
4458,11,177,57.768110000000036,0.32637350282485894,0.21173553711676674,1.30762,23,0.12994350282485875,18361.539200424726,7.1765889400309,105.83451555169569,1270.2562423854692,7.1765889400309,87.74345978557922,17481.270109013054,98.76423790402855,60.93106387267595,9.795136470588247,0.05900684620836293,0.32044635210029004,9.795136470588247,0.05900684620836293,0.32044635210029004,9,1.16293,0.12921444444444444
4458,12,219,87.52885,0.39967511415525114,0.3027256790850396,1.85352,39,0.1780821917808219,21528.242177184235,14.948044669022984,95.3832028804387,3273.6217825160334,14.948044669022984,93.25569482037572,21382.0653355849,97.63500153235114,58.24394140211923,19.539011176470616,0.1007165524560341,0.29043754842181935,19.539011176470616,0.1007165524560341,0.29043754842181935,11,1.23698,0.11245272727272727
4458,13,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
