userID,Total_Fixation_Count,Total_Fixation_Duration,Average_Fixation_Duration,Fixation_Duration_SD,Longest_Fixation_Duration,Total_Refixation_Count,Refixation_Ratio,Total_Saccade_Length,Average_Saccade_Length,Saccade_Length_SD,Total_Saccade_Absolute_Angle,Average_Saccade_Absolute_Angle,Saccade_Absolute_Angle_SD,Total_Saccade_Relative_Angle,Average_Saccade_Relative_Angle,Saccade_Relative_Angle_SD,Total_Left_Eye_Difference,Average_Left_Eye_Difference,Left_Eye_Difference_SD,Total_Right_Eye_Difference,Average_Right_Eye_Difference,Right_Eye_Difference_SD,Blink_Count,Total_Blink_Duration,Average_Blink_Duration,Number of English AOIs
5385,66,43.56644,0.660097576,1.083044161,7.87695,2,0.03030303,9889.525944,8.457539174,136.5765752,558.1975855,8.457539174,96.58273246,6311.328207,95.62618495,69.15596884,29.68618727,0.463846676,0.420961186,29.68618727,0.463846676,0.420961186,0,0,0,3
5385,25,7.47461,0.2989844,0.170812125,0.83789,1,0.04,3227.738132,30.76788272,102.2522189,769.197068,30.76788272,89.24245301,2350.83675,94.03347002,63.01068001,10.46053273,0.43585553,0.342485955,10.46053273,0.43585553,0.342485955,0,0,0,3
5385,52,14.05664,0.27032,0.150023559,0.83594,4,0.076923077,8753.391633,29.49319907,160.2229255,1533.646352,29.49319907,94.00889959,4039.072289,77.6744671,61.41036578,18.56538091,0.357026556,0.333182437,18.56538091,0.357026556,0.333182437,0,0,0,3
5385,23,12.07617,0.52505087,0.401866485,1.48828,2,0.086956522,1927.715193,28.51007278,84.19038659,655.731674,28.51007278,88.10465314,2280.690397,99.16045206,54.27494489,15.22652,0.692114545,0.357685194,15.22652,0.692114545,0.357685194,2,0.11764,0.05882,0
5385,12,8.25196,0.687663333,0.334836968,1.43359,1,0.083333333,1442.435096,58.04211703,47.60598412,696.5054043,58.04211703,68.38204144,912.4719233,76.03932694,62.29705503,4.689196364,0.390766364,0.364218582,4.689196364,0.390766364,0.364218582,0,0,0,3
5385,68,13.49025,0.198386029,0.235752026,1.51367,7,0.102941176,11735.27985,12.48265696,157.2689921,848.820673,12.48265696,96.9928931,6324.936199,93.01376764,59.76467634,34.42743,0.782441591,1.662786855,34.42743,0.782441591,1.662786855,0,0,0,3
2068,208,42.42778,0.203979712,0.102089859,0.61133,44,0.211538462,18572.6159,-11.07562223,93.07016726,-2303.729423,-11.07562223,101.5489681,19822.5213,95.30058319,53.74264318,12.41839636,0.065705801,0.971507652,12.41839636,0.065705801,0.971507652,6,1.42184,0.236973333,3
2068,117,21.6836,0.185329915,0.081973764,0.47656,15,0.128205128,17804.72805,-2.486440175,288.8156049,-290.9135005,-2.486440175,93.88020322,12639.34731,108.0286095,58.69248211,-0.061064545,-0.000570697,0.304987466,-0.061064545,-0.000570697,0.304987466,1,0.17882,0.17882,3
2068,167,31.61129,0.189289162,0.098445927,0.69727,20,0.119760479,19373.84875,6.013433055,119.7435843,1004.24332,6.013433055,104.6502207,14708.22298,88.07319149,57.87145772,3.702220909,0.025015006,0.859981737,3.702220909,0.025015006,0.859981737,4,0.73006,0.182515,0
2068,41,7.96679,0.194311951,0.089673739,0.42969,10,0.243902439,5105.096161,8.841710275,143.4934138,362.5101213,8.841710275,90.80667885,3661.379665,89.30194304,66.34434601,42.27462273,1.142557371,2.154732516,42.27462273,1.142557371,2.154732516,2,0.489,0.2445,3
