userID,Total_Fixation_Count,Total_Fixation_Duration,Average_Fixation_Duration,Fixation_Duration_SD,Longest_Fixation_Duration,Total_Refixation_Count,Refixation_Ratio,Total_Saccade_Length,Average_Saccade_Length,Saccade_Length_SD,Total_Saccade_Absolute_Angle,Average_Saccade_Absolute_Angle,Saccade_Absolute_Angle_SD,Total_Saccade_Relative_Angle,Average_Saccade_Relative_Angle,Saccade_Relative_Angle_SD,Total_Left_Eye_Difference,Average_Left_Eye_Difference,Left_Eye_Difference_SD,Total_Right_Eye_Difference,Average_Right_Eye_Difference,Right_Eye_Difference_SD,Blink_Count,Total_Blink_Duration,Average_Blink_Duration,LanguageSwitch
5385,17,3.8545,0.226735294,0.113765786,0.60254,1,0.058823529,1499.478573,25.58184732,90.38922666,434.8914044,25.58184732,95.87834708,1471.719588,86.57174049,50.77711839,14.49541818,0.852671658,0.498943555,14.49541818,0.852671658,0.498943555,0,0,0,Yes
5385,7,2.65821,0.379744286,0.173823517,0.68262,1,0.142857143,568.8689815,52.73342447,55.30229321,369.1339713,52.73342447,82.18148715,543.4485747,77.63551067,63.12851793,5.055474545,0.722210649,0.063151148,5.055474545,0.722210649,0.063151148,0,0,0,No
5385,11,5.47265,0.497513636,0.282612061,1.16602,0,0,1057.36568,10.03578218,134.8406726,110.393604,10.03578218,74.81796324,846.9949105,76.99953732,53.9306923,4.40148,0.400134545,0.172863589,4.40148,0.400134545,0.172863589,0,0,0,No
5385,11,5.16015,0.469104545,0.467311692,1.72949,1,0.090909091,1697.596908,27.52332489,144.9093461,302.7565738,27.52332489,85.61533892,1248.805297,113.5277543,60.9098286,2.940363636,0.294036364,0.281293249,2.940363636,0.294036364,0.281293249,0,0,0,No
5385,3,6.06641,2.022136667,1.309782773,3.84277,0,0,296.5913003,-15.00699657,38.53051161,-45.02098971,-15.00699657,74.48868068,148.6976512,49.56588373,50.05108784,-0.471010909,-0.157003636,0.120975187,-0.471010909,-0.157003636,0.120975187,0,0,0,No
5385,2,0.52149,0.260745,0.027345,0.28809,0,0,401.6959673,125.8311799,111.4519965,251.6623597,125.8311799,45.57495897,119.4150454,59.7075227,46.25904265,0.074312727,0.037156364,0.07606,0.074312727,0.037156364,0.07606,0,0,0,No
5385,13,8.42186,0.647835385,0.393090532,1.6748,2,0.153846154,1208.815496,41.78867278,39.88105007,543.2527462,41.78867278,79.45319063,1005.73277,77.36405926,52.7788583,2.832546364,0.23604553,0.228387948,2.832546364,0.23604553,0.228387948,0,0,0,Yes
5385,5,2.31837,0.463674,0.331038778,1.06348,0,0,648.6906438,79.01000596,80.69805935,395.0500298,79.01000596,53.35822565,407.1720491,81.43440981,66.12137518,1.301781818,0.260356364,0.244748327,1.301781818,0.260356364,0.244748327,1,0.14308,0.14308,No
5385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
5385,8,1.70214,0.2127675,0.086699685,0.33496,0,0,857.0915275,44.10784613,95.59281985,352.862769,44.10784613,58.482478,859.8332863,107.4791608,63.48396439,6.812290909,0.851536364,0.362723967,6.812290909,0.851536364,0.362723967,0,0,0,No
5385,2,0.74316,0.37158,0.09717,0.46875,0,0,362.8211091,87.58148418,56.76337032,175.1629684,87.58148418,4.677696927,184.477639,92.2388195,86.48191174,0.950962727,0.475481364,0.320635,0.950962727,0.475481364,0.320635,0,0,0,Yes
5385,3,0.98439,0.32813,0.132582521,0.51563,0,0,291.895923,99.65002278,16.10061101,298.9500683,99.65002278,65.06392435,236.0684096,78.68946987,46.28460283,-0.081300909,-0.027100303,0.07484525,-0.081300909,-0.027100303,0.07484525,0,0,0,Yes
5385,45,13.43753,0.298611778,0.214187307,0.84473,17,0.377777778,5715.319507,8.824552833,233.7494544,397.1048775,8.824552833,93.14863464,3615.789461,80.35087691,65.5109405,49.08638636,1.090808586,0.92522013,49.08638636,1.090808586,0.92522013,1,0.11259,0.11259,Yes
5385,12,5.55859,0.463215833,0.473446377,1.63477,2,0.166666667,1109.873686,-16.68680203,55.65967957,-200.2416243,-16.68680203,110.0039942,965.290549,80.44087908,60.12803795,10.99722636,0.91643553,0.237168859,10.99722636,0.91643553,0.237168859,0,0,0,No
5385,13,2.93065,0.225434615,0.14995485,0.49609,1,0.076923077,3685.739334,-17.45175654,236.0367301,-226.872835,-17.45175654,92.90175063,835.2330967,64.24869974,58.39592013,9.250792727,0.711599441,1.518000126,9.250792727,0.711599441,1.518000126,2,0.22234,0.11117,No
5385,37,12.12696,0.327755676,0.208516751,1.05176,10,0.27027027,3051.106925,-5.674027767,65.68382891,-209.9390274,-5.674027767,104.9199711,2897.358696,78.30699178,48.9096314,22.48922545,0.607816904,0.30917283,22.48922545,0.607816904,0.30917283,1,0.08996,0.08996,Yes
5385,14,3.82521,0.273229286,0.169914078,0.68359,1,0.071428571,2344.754012,-9.282320499,115.5942663,-129.952487,-9.282320499,95.85281023,1259.033348,89.9309534,72.03005739,1.767582727,0.135967902,0.290107226,1.767582727,0.135967902,0.290107226,0,0,0,No
