MEDIA_ID,MEDIA_NAME,BKID,BKDUR,BKPMIN,X_Coordinate,Y_Coordinate,userID,AOI_TYPE,Page
1,hapii,1080,0.11899000000000001,18,0,0,1982,NOT_AOI,0
1,hapii,1081,0.12136,18,428,2483,1982,NOT_AOI,0
1,hapii,1082,0.13288,18,849,104,1982,QUERY,0
1,hapii,1083,0.18189,18,0,0,1982,NOT_AOI,0
1,hapii,1084,0.17054,19,725,1092,1982,NOT_AOI,0
1,hapii,1085,0.11129000000000001,19,44,185,1982,NOT_AOI,0
1,hapii,1086,0.16580999999999999,18,0,0,1982,NOT_AOI,0
1,hapii,1087,0.10815,17,-2,429,1982,NOT_AOI,0
1,hapii,1088,0.18077000000000001,17,708,1129,1982,NOT_AOI,0
1,hapii,1089,0.14294,18,163,1087,1982,NOT_AOI,0
1,hapii,1090,0.17373,17,288,514,1982,NOT_AOI,0
1,hapii,1091,0.18759,18,792,1365,1982,NOT_AOI,0
1,hapii,1092,0.14528,19,457,1199,1982,NOT_AOI,0
1,hapii,1093,0.10028,19,1063,1186,1982,NOT_AOI,0
1,hapii,1094,0.11085,20,518,459,1982,NOT_AOI,0
1,hapii,1095,0.09577999999999999,19,704,494,1982,RESULT3,1
1,hapii,1096,0.07664,20,0,0,1982,NOT_AOI,1
1,hapii,1097,0.0307,21,0,0,1982,NOT_AOI,1
1,hapii,1098,0.05766,22,0,0,1982,NOT_AOI,1
1,hapii,1099,0.04085,22,0,0,1982,NOT_AOI,1
1,hapii,1100,0.10973,22,0,0,1982,NOT_AOI,1
1,hapii,1101,0.03415,22,0,0,1982,NOT_AOI,1
1,hapii,1102,0.0284,21,0,0,1982,NOT_AOI,1
1,hapii,1103,0.11954000000000001,21,312,1096,1982,NOT_AOI,1
1,hapii,1104,0.18109,22,0,0,1982,NOT_AOI,1
1,hapii,1105,0.16215,21,355,414,1982,NOT_AOI,1
1,hapii,1106,0.14128,21,585,1346,1982,NOT_AOI,1
1,hapii,1107,0.07202,21,684,813,1982,NOT_AOI,1
1,hapii,1108,0.06138,22,853,-388,1982,NOT_AOI,1
1,hapii,1109,0.054479999999999994,22,544,575,1982,NOT_AOI,1
1,hapii,1110,0.16391,21,399,211,1982,NOT_AOI,1
