userID,Duration,Page,Order,Language,TaskPage
3545,14.200000000000273,1,2,Chinese,1
3545,4.899999999999636,1,2,Chinese,2
3545,1.2000000000002728,6,2,Chinese,1
3545,1.400000000000091,6,2,Chinese,2
3545,0.599999999999909,11,2,Chinese,1
3545,0.5,11,2,Chinese,2
3545,0.8999999999996362,16,2,Chinese,1
3545,14.700000000000273,16,2,Chinese,2
3545,4.300000000000182,21,2,Chinese,1
3545,4.699999999999818,21,2,Chinese,2
3545,13.0,26,2,Chinese,1
3545,1.900000000000091,26,2,Chinese,2
132,1.599999999999909,2,2,Chinese,1
132,5.7999999999999545,2,2,Chinese,2
132,4.400000000000091,7,2,Chinese,1
132,3.400000000000091,7,2,Chinese,2
132,0.900000000000091,12,2,Chinese,1
132,0.8999999999998636,12,2,Chinese,2
132,2.5,17,2,Chinese,1
132,0.8000000000001819,17,2,Chinese,2
132,1.099999999999909,22,2,Chinese,1
132,0.900000000000091,22,2,Chinese,2
132,1.300000000000182,27,2,Chinese,1
132,0.6999999999998181,27,2,Chinese,2
1586,14.799999999999955,4,2,Chinese,1
1586,2.2000000000000455,4,2,Chinese,2
1586,1.7999999999999545,9,2,Chinese,1
1586,4.100000000000136,9,2,Chinese,2
1586,12.799999999999955,14,2,Chinese,2
1586,18.799999999999955,14,2,Chinese,1
1586,0.7999999999999545,19,2,Chinese,1
1586,27.600000000000136,19,2,Chinese,2
1586,6.900000000000091,24,2,Chinese,1
1586,1.300000000000182,24,2,Chinese,2
1586,9.5,29,2,Chinese,1
1586,1.2999999999997272,29,2,Chinese,2
2068,0.8999999999999773,5,2,Chinese,1
2068,1.1000000000000227,5,2,Chinese,2
2068,5.600000000000023,10,2,Chinese,1
2068,3.2999999999999545,10,2,Chinese,2
2068,3.1000000000000227,15,2,Chinese,1
2068,1.3999999999999773,15,2,Chinese,2
2068,9.200000000000045,20,2,Chinese,1
2068,0.09999999999990905,20,2,Chinese,2
2068,1.7999999999999545,25,2,Chinese,2
2068,1.2999999999999545,25,2,Chinese,1
2068,1.7999999999999545,30,2,Chinese,1
2068,1.599999999999909,30,2,Chinese,2
5385,6.5,1,2,Chinese,1
5385,14.200000000000045,1,2,Chinese,2
5385,0.900000000000091,6,2,Chinese,1
5385,4.899999999999864,6,2,Chinese,2
5385,10.100000000000136,11,2,Chinese,1
5385,8.299999999999955,11,2,Chinese,2
5385,0.599999999999909,16,2,Chinese,1
5385,0.7000000000002728,16,2,Chinese,2
5385,2.599999999999909,21,2,Chinese,1
5385,1.2000000000002728,21,2,Chinese,2
5385,0.599999999999909,26,2,Chinese,1
5385,0.6999999999998181,26,2,Chinese,2
1338,0.8999999999998636,5,2,Chinese,1
1338,1.1000000000001364,5,2,Chinese,2
1338,1.5,10,2,Chinese,1
1338,0.8000000000001819,10,2,Chinese,2
1338,0.8999999999998636,15,2,Chinese,1
1338,3.900000000000091,15,2,Chinese,2
1338,0.900000000000091,20,2,Chinese,1
1338,1.5,20,2,Chinese,2
1338,2.2999999999999545,25,2,Chinese,1
1338,0.900000000000091,25,2,Chinese,2
1338,1.0,30,2,Chinese,1
1338,0.7999999999999545,30,2,Chinese,2
2591,4.100000000000001,4,2,Chinese,1
2591,3.6999999999999993,4,2,Chinese,2
2591,3.299999999999983,9,2,Chinese,1
2591,2.5,9,2,Chinese,2
2591,2.8000000000000114,14,2,Chinese,1
2591,3.099999999999966,14,2,Chinese,2
2591,1.3000000000000114,19,2,Chinese,1
2591,3.6999999999999886,19,2,Chinese,2
2591,1.1000000000000227,24,2,Chinese,1
2591,2.3000000000000114,24,2,Chinese,2
2591,9.100000000000023,29,2,Chinese,1
2591,3.7999999999999545,29,2,Chinese,2
671,5.699999999999818,4,2,Chinese,2
671,8.099999999999909,4,2,Chinese,1
671,2.299999999999983,9,2,Chinese,1
671,2.700000000000017,9,2,Chinese,2
671,7.7999999999999545,14,2,Chinese,2
671,3.900000000000034,14,2,Chinese,1
671,2.2000000000000455,19,2,Chinese,1
671,12.0,19,2,Chinese,2
671,8.399999999999977,24,2,Chinese,1
671,3.1000000000000227,24,2,Chinese,2
671,7.7999999999999545,29,2,Chinese,1
671,4.7000000000000455,29,2,Chinese,2
