userID,Duration,Page,Order,Language,TaskPage
3545,2.099999999999909,3,3,English,1
3545,25.0,3,3,English,2
3545,44.40000000000009,8,3,English,1
3545,1.699999999999818,8,3,English,2
3545,1.2999999999997272,13,3,English,1
3545,0.8000000000001819,13,3,English,2
3545,0.6000000000003638,18,3,English,1
3545,1.3999999999996362,18,3,English,2
3545,0.6999999999998181,23,3,English,1
3545,4.300000000000182,23,3,English,2
3545,16.9,28,3,English,1
3545,3.1999999999999993,28,3,English,2
5890,8.5,3,3,English,1
5890,6.5,3,3,English,2
5890,1.1000000000000227,8,3,English,1
5890,2.8999999999999773,8,3,English,2
5890,1.300000000000182,13,3,English,1
5890,7.5,13,3,English,2
5890,6.099999999999909,18,3,English,1
5890,7.400000000000091,18,3,English,2
5890,2.6000000000001364,23,3,English,1
5890,4.2999999999999545,23,3,English,2
5890,2.7999999999999545,28,3,English,1
5890,5.2999999999999545,28,3,English,2
2128,9.799999999999955,1,3,English,1
2128,4.400000000000091,1,3,English,2
2128,2.2000000000000455,6,3,English,1
2128,2.099999999999909,6,3,English,2
2128,0.7999999999999545,11,3,English,1
2128,2.0,11,3,English,2
2128,30.59999999999991,16,3,English,2
2128,1.5,16,3,English,1
2128,0.5,21,3,English,1
2128,0.7999999999999545,21,3,English,2
2128,0.6999999999998181,26,3,English,1
2128,1.0,26,3,English,2
2156,1.7999999999999545,2,3,English,1
2156,1.2000000000000455,2,3,English,2
2156,5.7000000000000455,7,3,English,2
2156,1.5,7,3,English,1
2156,2.5,12,3,English,2
2156,2.099999999999909,12,3,English,1
2156,1.400000000000091,17,3,English,1
2156,0.900000000000091,17,3,English,2
2156,4.5,22,3,English,1
2156,4.599999999999909,22,3,English,2
2156,1.7999999999997272,27,3,English,1
2156,10.400000000000091,27,3,English,2
5492,2.4000000000000057,5,3,English,1
5492,34.099999999999994,5,3,English,2
5492,0.6999999999999318,10,3,English,1
5492,51.30000000000007,10,3,English,2
5492,10.100000000000023,15,3,English,1
5492,1.1999999999999318,15,3,English,2
5492,2.7999999999999545,20,3,English,1
5492,3.099999999999909,20,3,English,2
5492,3.3999999999998636,25,3,English,1
5492,5.800000000000182,25,3,English,2
5492,27.200000000000045,30,3,English,1
5492,6.7000000000000455,30,3,English,2
132,11.099999999999909,5,3,English,1
132,33.700000000000045,5,3,English,2
132,15.200000000000045,10,3,English,1
132,1.099999999999909,10,3,English,2
132,48.700000000000045,15,3,English,1
132,5.7000000000000455,15,3,English,2
132,16.899999999999864,20,3,English,1
132,2.2000000000000455,20,3,English,2
132,1.800000000000182,25,3,English,1
132,2.099999999999909,25,3,English,2
132,1.900000000000091,30,3,English,1
132,4.299999999999727,30,3,English,2
1586,10.800000000000068,2,3,English,1
1586,0.8999999999999773,2,3,English,2
1586,24.299999999999955,7,3,English,1
1586,4.900000000000091,7,3,English,2
1586,3.7999999999999545,12,3,English,1
1586,0.8000000000001819,12,3,English,2
1586,4.599999999999909,17,3,English,1
1586,2.0,17,3,English,2
1586,5.099999999999909,22,3,English,1
1586,2.200000000000273,22,3,English,2
1586,4.199999999999818,27,3,English,1
1586,2.200000000000273,27,3,English,2
2899,13.200000000000003,4,3,English,1
2899,3.5999999999999943,4,3,English,2
