ID,userID,Task,QueryLanguage,"Result Order",exitAt,createdAt,updatedAt
"657","5385","0","Eye Tracker","-1","2020-02-10 14:23:17.806","2020-02-10 14:22:51.375","2020-02-10 14:23:17.806"
"658","5385","1","Chinese","2","2020-02-10 14:24:09.866","2020-02-10 14:23:17.950","2020-02-10 14:24:09.866"
"659","5385","2","English","0","2020-02-10 14:24:45.001","2020-02-10 14:24:09.971","2020-02-10 14:24:45.001"
"660","5385","3","Chinese","3","2020-02-10 14:25:54.618","2020-02-10 14:24:45.098","2020-02-10 14:25:54.618"
"661","5385","4","English","4","2020-02-10 14:26:30.619","2020-02-10 14:25:54.716","2020-02-10 14:26:30.619"
"662","5385","5","Chinese","1","2020-02-10 14:27:07.001","2020-02-10 14:26:30.725","2020-02-10 14:27:07.001"
"663","5385","6","English","2","2020-02-10 14:27:41.740","2020-02-10 14:27:07.107","2020-02-10 14:27:41.740"
"664","5385","7","Chinese","0","2020-02-10 14:28:37.258","2020-02-10 14:27:41.821","2020-02-10 14:28:37.258"
"665","5385","8","English","3","2020-02-10 14:29:06.366","2020-02-10 14:28:37.353","2020-02-10 14:29:06.366"
"666","5385","9","Chinese","4","2020-02-10 14:29:52.408","2020-02-10 14:29:06.474","2020-02-10 14:29:52.408"
"667","5385","10","English","1","2020-02-10 14:30:13.218","2020-02-10 14:29:52.512","2020-02-10 14:30:13.218"
"668","5385","11","Chinese","2","2020-02-10 14:31:22.823","2020-02-10 14:30:13.327","2020-02-10 14:31:22.823"
"669","5385","12","English","0","2020-02-10 14:32:17.188","2020-02-10 14:31:22.923","2020-02-10 14:32:17.188"
"670","5385","13","Chinese","3","2020-02-10 14:33:10.506","2020-02-10 14:32:17.296","2020-02-10 14:33:10.506"
"671","5385","14","English","4","2020-02-10 14:33:48.833","2020-02-10 14:33:10.610","2020-02-10 14:33:48.833"
"672","5385","15","Chinese","1","2020-02-10 14:34:19.075","2020-02-10 14:33:48.929","2020-02-10 14:34:19.075"
"673","5385","16","English","2","2020-02-10 14:34:47.920","2020-02-10 14:34:19.172","2020-02-10 14:34:47.920"
"674","5385","17","Chinese","0","2020-02-10 14:35:39.736","2020-02-10 14:34:48.013","2020-02-10 14:35:39.736"
"675","5385","18","English","3","2020-02-10 14:36:03.471","2020-02-10 14:35:39.833","2020-02-10 14:36:03.471"
"676","5385","19","Chinese","4","2020-02-10 14:36:20.977","2020-02-10 14:36:03.556","2020-02-10 14:36:20.977"
"677","5385","20","English","1","2020-02-10 14:36:34.481","2020-02-10 14:36:21.065","2020-02-10 14:36:34.481"
"678","5385","21","Chinese","2","2020-02-10 14:37:04.218","2020-02-10 14:36:34.567","2020-02-10 14:37:04.218"
"679","5385","22","English","0","2020-02-10 14:37:19.763","2020-02-10 14:37:04.304","2020-02-10 14:37:19.763"
"680","5385","23","Chinese","3","2020-02-10 14:38:29.030","2020-02-10 14:37:19.852","2020-02-10 14:38:29.030"
"681","5385","24","English","4","2020-02-10 14:38:42.303","2020-02-10 14:38:29.119","2020-02-10 14:38:42.303"
"682","5385","25","Chinese","1","2020-02-10 14:39:03.512","2020-02-10 14:38:42.399","2020-02-10 14:39:03.512"
"683","5385","26","English","2","2020-02-10 14:39:36.728","2020-02-10 14:39:03.633","2020-02-10 14:39:36.728"
"684","5385","27","Chinese","0","2020-02-10 14:40:00.479","2020-02-10 14:39:36.822","2020-02-10 14:40:00.479"
"685","5385","28","English","3","2020-02-10 14:40:10.362","2020-02-10 14:40:00.575","2020-02-10 14:40:10.362"
"686","5385","29","Chinese","4","2020-02-10 14:40:40.944","2020-02-10 14:40:10.436","2020-02-10 14:40:40.944"
"687","5385","30","English","1","2020-02-10 14:41:03.658","2020-02-10 14:40:41.058","2020-02-10 14:41:03.658"
