ID,userID,resultID,Rank,Relevance,QueryLanguage,createdAt,updatedAt
"71","35","2399","1","0","English","2019-10-08 15:16:35.291","2019-10-08 15:16:35.291"
"72","35","2400","2","0","English","2019-10-08 15:16:37.272","2019-10-08 15:16:37.272"
"73","35","3478","3","0","English","2019-10-08 15:16:39.316","2019-10-08 15:16:39.316"
"74","35","3479","4","0","English","2019-10-08 15:16:40.709","2019-10-08 15:16:40.709"
"75","35","3480","5","0","English","2019-10-08 15:16:43.518","2019-10-08 15:16:43.518"
"76","35","2218","0","0","Chinese","2019-10-08 15:16:59.919","2019-10-08 15:16:59.919"
"77","35","2219","1","0","Chinese","2019-10-08 15:17:00.722","2019-10-08 15:17:00.722"
"78","35","2220","2","1","Chinese","2019-10-08 15:17:06.105","2019-10-08 15:17:06.105"
"79","35","2221","3","1","Chinese","2019-10-08 15:17:09.844","2019-10-08 15:17:09.844"
"80","35","2222","4","1","Chinese","2019-10-08 15:17:11.919","2019-10-08 15:17:11.919"
"81","35","2223","5","1","Chinese","2019-10-08 15:17:13.175","2019-10-08 15:17:13.175"
"82","35","2223","5","0","Chinese","2019-10-08 15:17:17.298","2019-10-08 15:17:17.298"
"83","35","3508","0","0","English","2019-10-08 15:17:44.150","2019-10-08 15:17:44.150"
"84","35","3509","1","0","English","2019-10-08 15:17:45.700","2019-10-08 15:17:45.700"
"85","35","3510","2","0","English","2019-10-08 15:17:47.404","2019-10-08 15:17:47.404"
"86","35","2428","3","1","English","2019-10-08 15:18:02.857","2019-10-08 15:18:02.857"
"87","35","2429","4","1","English","2019-10-08 15:18:04.133","2019-10-08 15:18:04.133"
"88","35","2430","5","1","English","2019-10-08 15:18:06.428","2019-10-08 15:18:06.428"
"89","35","2188","0","0","Chinese","2019-10-08 15:18:16.266","2019-10-08 15:18:16.266"
"90","35","3268","1","1","Chinese","2019-10-08 15:18:20.572","2019-10-08 15:18:20.572"
"91","35","2189","2","0","Chinese","2019-10-08 15:18:25.376","2019-10-08 15:18:25.376"
"92","35","3269","3","1","Chinese","2019-10-08 15:18:27.868","2019-10-08 15:18:27.868"
"93","35","2190","4","1","Chinese","2019-10-08 15:18:29.033","2019-10-08 15:18:29.033"
"94","35","3270","5","0","Chinese","2019-10-08 15:18:38.058","2019-10-08 15:18:38.058"
"95","35","3538","0","0","English","2019-10-08 15:18:50.769","2019-10-08 15:18:50.769"
"96","35","3539","1","1","English","2019-10-08 15:18:55.485","2019-10-08 15:18:55.485"
"97","35","3540","2","0","English","2019-10-08 15:18:57.626","2019-10-08 15:18:57.626"
"98","35","3541","3","0","English","2019-10-08 15:19:08.025","2019-10-08 15:19:08.025"
"99","35","3541","3","1","English","2019-10-08 15:19:09.564","2019-10-08 15:19:09.564"
"100","35","3542","4","1","English","2019-10-08 15:19:22.259","2019-10-08 15:19:22.259"
"101","35","3543","5","1","English","2019-10-08 15:19:25.077","2019-10-08 15:19:25.077"
"102","35","2158","0","1","Chinese","2019-10-08 15:19:37.390","2019-10-08 15:19:37.390"
"103","35","2159","1","1","Chinese","2019-10-08 15:19:38.286","2019-10-08 15:19:38.286"
"104","35","2160","2","0","Chinese","2019-10-08 15:19:40.117","2019-10-08 15:19:40.117"
"105","35","3238","3","1","Chinese","2019-10-08 15:19:47.958","2019-10-08 15:19:47.958"
"106","35","3239","4","1","Chinese","2019-10-08 15:19:59.526","2019-10-08 15:19:59.526"
"107","35","3240","5","1","Chinese","2019-10-08 15:20:11.630","2019-10-08 15:20:11.630"
"108","35","2488","0","0","English","2019-10-08 15:20:36.246","2019-10-08 15:20:36.246"
"109","35","2489","1","0","English","2019-10-08 15:20:37.436","2019-10-08 15:20:37.436"
"110","35","2490","2","0","English","2019-10-08 15:20:40.127","2019-10-08 15:20:40.127"
"111","35","2491","3","1","English","2019-10-08 15:20:47.300","2019-10-08 15:20:47.300"
"112","35","2492","4","1","English","2019-10-08 15:20:48.418","2019-10-08 15:20:48.418"
"113","35","2493","5","0","English","2019-10-08 15:20:54.551","2019-10-08 15:20:54.551"
"114","35","4107","0","0","Chinese","2019-10-08 15:21:10.273","2019-10-08 15:21:10.273"
"115","35","4108","1","0","Chinese","2019-10-08 15:21:11.791","2019-10-08 15:21:11.791"
"116","35","4109","2","0","Chinese","2019-10-08 15:21:14.589","2019-10-08 15:21:14.589"
"117","35","3028","3","0","Chinese","2019-10-08 15:21:19.482","2019-10-08 15:21:19.482"
"118","35","3029","4","0","Chinese","2019-10-08 15:21:21.628","2019-10-08 15:21:21.628"
"119","35","3030","5","0","Chinese","2019-10-08 15:21:23.137","2019-10-08 15:21:23.137"
"120","35","2518","0","0","English","2019-10-08 15:21:48.787","2019-10-08 15:21:48.787"
"121","35","3598","1","0","English","2019-10-08 15:21:51.533","2019-10-08 15:21:51.533"
"122","35","2519","2","0","English","2019-10-08 15:21:52.875","2019-10-08 15:21:52.875"
"123","35","3599","3","1","English","2019-10-08 15:21:54.343","2019-10-08 15:21:54.343"
"124","35","2520","4","0","English","2019-10-08 15:21:55.988","2019-10-08 15:21:55.988"
"125","35","3600","5","0","English","2019-10-08 15:21:57.909","2019-10-08 15:21:57.909"
"126","35","4077","0","0","Chinese","2019-10-08 15:22:08.993","2019-10-08 15:22:08.993"
"127","35","4078","1","0","Chinese","2019-10-08 15:22:11.287","2019-10-08 15:22:11.287"
"128","35","4079","2","1","Chinese","2019-10-08 15:22:20.499","2019-10-08 15:22:20.499"
"129","35","4080","3","0","Chinese","2019-10-08 15:22:25.164","2019-10-08 15:22:25.164"
"130","35","4079","2","0","Chinese","2019-10-08 15:22:40.093","2019-10-08 15:22:40.093"
"131","35","4081","4","0","Chinese","2019-10-08 15:22:46.443","2019-10-08 15:22:46.443"
"132","35","4081","4","1","Chinese","2019-10-08 15:22:49.852","2019-10-08 15:22:49.852"
"133","35","4082","5","0","Chinese","2019-10-08 15:23:05.196","2019-10-08 15:23:05.196"
"134","35","2548","0","0","English","2019-10-08 15:23:15.993","2019-10-08 15:23:15.993"
"135","35","2549","1","0","English","2019-10-08 15:23:17.438","2019-10-08 15:23:17.438"
"136","35","2550","2","0","English","2019-10-08 15:23:18.773","2019-10-08 15:23:18.773"
"137","35","3628","3","0","English","2019-10-08 15:23:21.205","2019-10-08 15:23:21.205"
"138","35","3629","4","0","English","2019-10-08 15:23:22.443","2019-10-08 15:23:22.443"
"139","35","3630","5","0","English","2019-10-08 15:23:23.538","2019-10-08 15:23:23.538"
"140","35","3630","5","1","English","2019-10-08 15:23:25.090","2019-10-08 15:23:25.090"
"141","35","2968","0","0","Chinese","2019-10-08 15:23:41.181","2019-10-08 15:23:41.181"
"142","35","2969","1","1","Chinese","2019-10-08 15:23:46.122","2019-10-08 15:23:46.122"
"143","35","2970","2","0","Chinese","2019-10-08 15:23:51.221","2019-10-08 15:23:51.221"
"144","35","2971","3","1","Chinese","2019-10-08 15:23:54.287","2019-10-08 15:23:54.287"
"145","35","2972","4","1","Chinese","2019-10-08 15:23:57.279","2019-10-08 15:23:57.279"
"146","35","2973","5","1","Chinese","2019-10-08 15:24:03.875","2019-10-08 15:24:03.875"
"147","35","3658","0","0","English","2019-10-08 15:24:15.451","2019-10-08 15:24:15.451"
"148","35","3659","1","0","English","2019-10-08 15:24:16.682","2019-10-08 15:24:16.682"
"149","35","3660","2","0","English","2019-10-08 15:24:19.038","2019-10-08 15:24:19.038"
"150","35","2578","3","1","English","2019-10-08 15:24:23.998","2019-10-08 15:24:23.998"
"151","35","2579","4","1","English","2019-10-08 15:24:29.583","2019-10-08 15:24:29.583"
"152","35","2580","5","1","English","2019-10-08 15:24:33.842","2019-10-08 15:24:33.842"
"153","35","2938","0","0","Chinese","2019-10-08 15:24:49.081","2019-10-08 15:24:49.081"
"154","35","4017","1","0","Chinese","2019-10-08 15:24:50.402","2019-10-08 15:24:50.402"
"155","35","2939","2","0","Chinese","2019-10-08 15:24:51.276","2019-10-08 15:24:51.276"
"156","35","4018","3","0","Chinese","2019-10-08 15:24:52.289","2019-10-08 15:24:52.289"
"157","35","2940","4","0","Chinese","2019-10-08 15:24:53.657","2019-10-08 15:24:53.657"
"158","35","4019","5","0","Chinese","2019-10-08 15:24:55.622","2019-10-08 15:24:55.622"
"159","35","3688","0","0","English","2019-10-08 15:25:03.512","2019-10-08 15:25:03.512"
"160","35","3689","1","0","English","2019-10-08 15:25:04.979","2019-10-08 15:25:04.979"
