Page,AOI_TYPE,Blink_Count,Total_Blink_Duration,Average_Blink_Duration
0,QUERY,0,0.0,0.0
0,RESULT1,2,0.5068600000000001,0.25343000000000004
0,RESULT2,0,0.0,0.0
0,RESULT3,4,0.52482,0.131205
0,RESULT4,0,0.0,0.0
0,RESULT5,0,0.0,0.0
0,RESULT6,0,0.0,0.0
0,NOT_AOI,141,73.31914999999998,0.5199939716312055
1,QUERY,0,0.0,0.0
1,RESULT1,4,0.37506000000000006,0.09376500000000002
1,RESULT2,6,0.6994499999999999,0.11657499999999998
1,RESULT3,7,0.6042400000000001,0.08632000000000002
1,RESULT4,6,1.53083,0.2551383333333333
1,RESULT5,2,0.01406,0.00703
1,RESULT6,2,0.25351999999999997,0.12675999999999998
1,NOT_AOI,104,22.08349000000001,0.2123412500000001
2,QUERY,2,0.31387,0.156935
2,RESULT1,9,3.5712899999999994,0.39680999999999994
2,RESULT2,0,0.0,0.0
2,RESULT3,0,0.0,0.0
2,RESULT4,1,0.13455,0.13455
2,RESULT5,0,0.0,0.0
2,RESULT6,0,0.0,0.0
2,NOT_AOI,35,8.35482,0.23870914285714287
3,QUERY,1,0.10147,0.10147
3,RESULT1,2,0.52276,0.26138
3,RESULT2,3,0.52416,0.17472
3,RESULT3,0,0.0,0.0
3,RESULT4,0,0.0,0.0
3,RESULT5,1,0.15547,0.15547
3,RESULT6,0,0.0,0.0
3,NOT_AOI,72,19.608930000000004,0.27234625000000007
4,QUERY,3,0.219,0.073
4,RESULT1,6,1.5286199999999999,0.25477
4,RESULT2,0,0.0,0.0
4,RESULT3,2,0.36326,0.18163
4,RESULT4,0,0.0,0.0
4,RESULT5,0,0.0,0.0
4,RESULT6,0,0.0,0.0
4,NOT_AOI,10,1.37148,0.137148
5,QUERY,12,4.521600000000001,0.3768000000000001
5,RESULT1,6,0.043780000000000006,0.0072966666666666674
5,RESULT2,2,0.5221600000000001,0.26108000000000003
5,RESULT3,0,0.0,0.0
5,RESULT4,0,0.0,0.0
5,RESULT5,5,0.89249,0.178498
5,RESULT6,0,0.0,0.0
5,NOT_AOI,28,2.125710000000001,0.07591821428571432
