Average_Fixation_Duration,Fixation_Duration_SD,Longest_Fixation_Duration,Refixation_Ratio,Average_Saccade_Length,Saccade_Length_SD,Average_Saccade_Absolute_Angle,Saccade_Absolute_Angle_SD,Average_Saccade_Relative_Angle,Saccade_Relative_Angle_SD,Average_Left_Eye_Difference,Left_Eye_Difference_SD,Average_Right_Eye_Difference,Right_Eye_Difference_SD,Blink_Count,Average_Blink_Duration,Number of English AOIs,CEFR Median
0.203472222,0.165112838,1.25,0.13888888900000002,7.406848676,90.28918297,7.406848676,100.4245454,87.9745162,58.0636155,-0.290795829,0.446668678,-0.290795829,0.446668678,13,0.058262308,6,High
0.205357143,0.125318472,0.625,0.14285714300000002,22.11130435,124.6001854,22.11130435,90.4778325,100.6023144,61.38766971,-0.569050694,0.44824116,-0.569050694,0.44824116,2,0.133555,6,High
0.222701149,0.232447998,2.0,0.126436782,6.186593779,587.7548113,6.186593779,95.27102493,94.53449236,60.5525701,-0.89695475,0.412260521,-0.89695475,0.412260521,2,0.112925,6,High
0.206317204,0.138481634,0.75,0.14516129,5.4522405360000015,72.69342813,5.4522405360000015,93.78296642,90.85934728,52.44080869,-0.34600363700000003,0.398999681,-0.34600363700000003,0.398999681,12,0.052094167,6,High
0.145264167,0.06993835,0.32227,0.083333333,14.16481829,149.08105940000004,14.16481829,96.72666003,96.51522224,57.19921505,-0.223394091,0.275983236,-0.223394091,0.275983236,0,0.0,6,High
0.211340159,0.160258936,1.21289,0.126984127,7.68692174,163.6609318,7.68692174,94.32256011,83.0706954,55.97494336,0.634669336,1.691307894,0.634669336,1.691307894,1,0.09013,6,High
0.16843027800000002,0.106373361,0.60352,0.104166667,6.603267107000001,99.78057091,6.603267107000001,92.26752699,91.57381208,55.51050322,1.939249877,3.174473169,1.939249877,3.174473169,1,0.17679,6,High
0.19257875,0.083383641,0.44141,0.15,24.19700825,162.41600119999995,24.19700825,90.147864,97.39068266,57.69912579999999,-0.197361278,0.3767923970000001,-0.197361278,0.3767923970000001,0,0.0,6,High
0.162676373,0.086650796,0.49609,0.129533679,14.13000439,292.2453264,14.13000439,94.17495045,95.13213438,56.92376003,-0.164484766,1.285960082,-0.164484766,1.285960082,1,0.18606,6,High
0.147622348,0.093935097,0.63672,0.139130435,10.82194899,448.5521417,10.82194899,98.07502277,83.44070140000002,57.13738207,-0.328067868,0.389464099,-0.328067868,0.389464099,2,0.11862,6,High
0.236774783,0.109732994,0.6621100000000001,0.108695652,-5.958707504,106.6713902,-5.958707504,92.47238028,99.95345093,62.23817921,-0.163112377,0.178050193,-0.163112377,0.178050193,0,0.0,6,High
0.252410937,0.110954149,0.50293,0.09375,19.2572526,117.3227137,19.2572526,84.74336020000001,98.11103128,65.8953002,-0.214752548,0.261875834,-0.214752548,0.261875834,0,0.0,6,High
0.254551321,0.121925581,0.68457,0.075471698,20.21679616,159.9788655,20.21679616,78.54245291,98.09047259,59.48078221,0.15858842199999998,1.316042677,0.15858842199999998,1.316042677,2,0.058785,6,High
0.398438571,0.101477886,0.56348,0.0,29.90691008,29.95082972,29.90691008,61.4279708,93.78363165,72.70818602,-0.106933619,0.167308893,-0.106933619,0.167308893,0,0.0,6,High
0.256523019,0.116153652,0.60938,0.0,29.45313504,135.5477805,29.45313504,98.10392819,100.6553634,63.86988738,0.0,0.0,0.0,0.0,1,0.11389,6,High
0.309338095,0.24125373100000005,1.15234,0.0,12.37965392,130.16758190000002,12.37965392,93.97049868,80.54742306,58.38533726,-0.064612333,0.318575262,-0.064612333,0.318575262,0,0.0,6,High
0.263301034,0.092317817,0.46387,0.034482759,38.86328858,130.59908259999997,38.86328858,99.01298369,79.50167355,63.18744267,0.231172897,0.296339283,0.231172897,0.296339283,1,0.07781,6,High
0.248264074,0.126097301,0.57617,0.037037037,14.20500035,112.0729672,14.20500035,96.478698,94.8107797,62.89912249,0.256151769,0.218763475,0.256151769,0.218763475,1,0.08669,6,High
0.260275652,0.139773811,1.13184,0.054347826,27.61949251,167.2560814,27.61949251,94.9051759,98.71888255,69.26092024,0.169146,0.246231965,0.169146,0.246231965,0,0.0,6,High
0.28712649100000004,0.146526754,0.75,0.01754386,44.56757578,138.55745290000002,44.56757578,82.67270141,97.70226385,74.89832798,0.207053193,0.29998704,0.207053193,0.29998704,0,0.0,6,High
0.288729268,0.157531061,1.05859,0.048780488,34.29621859,141.8960095,34.29621859,83.09478486,95.03103514,66.42110267,0.35552032100000003,0.24980359,0.35552032100000003,0.24980359,1,0.09434,6,High
0.279507647,0.123494615,0.7168,0.019607843,27.33498962,111.8364687,27.33498962,80.493989,99.53450258,66.86452319,0.354443292,0.268763393,0.354443292,0.268763393,0,0.0,6,High
0.221111053,0.091333536,0.46216,0.17293233100000002,6.756586988,116.4805638,6.756586988,98.10868813,87.47014512,57.12706394,0.24402097600000006,0.34246988799999994,0.24402097600000006,0.34246988799999994,1,0.14748,6,Low
