@relation 'aoipage spanish median cefr'

@attribute Average_Fixation_Duration numeric
@attribute Fixation_Duration_SD numeric
@attribute Longest_Fixation_Duration numeric
@attribute Refixation_Ratio numeric
@attribute Average_Saccade_Length numeric
@attribute Saccade_Length_SD numeric
@attribute Average_Saccade_Absolute_Angle numeric
@attribute Saccade_Absolute_Angle_SD numeric
@attribute Average_Saccade_Relative_Angle numeric
@attribute Saccade_Relative_Angle_SD numeric
@attribute Average_Left_Eye_Difference numeric
@attribute Left_Eye_Difference_SD numeric
@attribute Average_Right_Eye_Difference numeric
@attribute Right_Eye_Difference_SD numeric
@attribute Blink_Count numeric
@attribute Average_Blink_Duration numeric
@attribute Average_Fixation_Duration_AOI1 numeric
@attribute Fixation_Duration_SD_AOI1 numeric
@attribute Longest_Fixation_Duration_AOI1 numeric
@attribute Refixation_Ratio_AOI1 numeric
@attribute Average_Saccade_Length_AOI1 numeric
@attribute Saccade_Length_SD_AOI1 numeric
@attribute Average_Saccade_Absolute_Angle_AOI1 numeric
@attribute Saccade_Absolute_Angle_SD_AOI1 numeric
@attribute Average_Saccade_Relative_Angle_AOI1 numeric
@attribute Saccade_Relative_Angle_SD_AOI1 numeric
@attribute Average_Left_Eye_Difference_AOI1 numeric
@attribute Left_Eye_Difference_SD_AOI1 numeric
@attribute Average_Right_Eye_Difference_AOI1 numeric
@attribute Right_Eye_Difference_SD_AOI1 numeric
@attribute Blink_Count_AOI1 numeric
@attribute Average_Blink_Duration_AOI1 numeric
@attribute AOI_Language_AOI1 {Spanish,English}
@attribute Previous_AOI_Language_AOI1 {Spanish,English}
@attribute Language_Switch_AOI1 {No,Yes}
@attribute Average_Fixation_Duration_AOI2 numeric
@attribute Fixation_Duration_SD_AOI2 numeric
@attribute Longest_Fixation_Duration_AOI2 numeric
@attribute Refixation_Ratio_AOI2 numeric
@attribute Average_Saccade_Length_AOI2 numeric
@attribute Saccade_Length_SD_AOI2 numeric
@attribute Average_Saccade_Absolute_Angle_AOI2 numeric
@attribute Saccade_Absolute_Angle_SD_AOI2 numeric
@attribute Average_Saccade_Relative_Angle_AOI2 numeric
@attribute Saccade_Relative_Angle_SD_AOI2 numeric
@attribute Average_Left_Eye_Difference_AOI2 numeric
@attribute Left_Eye_Difference_SD_AOI2 numeric
@attribute Average_Right_Eye_Difference_AOI2 numeric
@attribute Right_Eye_Difference_SD_AOI2 numeric
@attribute Blink_Count_AOI2 numeric
@attribute Average_Blink_Duration_AOI2 numeric
@attribute AOI_Language_AOI2 {Spanish,English}
@attribute Previous_AOI_Language_AOI2 {Spanish,English}
@attribute Language_Switch_AOI2 {No,Yes}
@attribute Average_Fixation_Duration_AOI3 numeric
@attribute Fixation_Duration_SD_AOI3 numeric
@attribute Longest_Fixation_Duration_AOI3 numeric
@attribute Refixation_Ratio_AOI3 numeric
@attribute Average_Saccade_Length_AOI3 numeric
@attribute Saccade_Length_SD_AOI3 numeric
@attribute Average_Saccade_Absolute_Angle_AOI3 numeric
@attribute Saccade_Absolute_Angle_SD_AOI3 numeric
@attribute Average_Saccade_Relative_Angle_AOI3 numeric
@attribute Saccade_Relative_Angle_SD_AOI3 numeric
@attribute Average_Left_Eye_Difference_AOI3 numeric
@attribute Left_Eye_Difference_SD_AOI3 numeric
@attribute Average_Right_Eye_Difference_AOI3 numeric
@attribute Right_Eye_Difference_SD_AOI3 numeric
@attribute Blink_Count_AOI3 numeric
@attribute Average_Blink_Duration_AOI3 numeric
@attribute AOI_Language_AOI3 {Spanish,English}
@attribute Previous_AOI_Language_AOI3 {Spanish,English}
@attribute Language_Switch_AOI3 {No,Yes}
@attribute Average_Fixation_Duration_AOI4 numeric
@attribute Fixation_Duration_SD_AOI4 numeric
@attribute Longest_Fixation_Duration_AOI4 numeric
@attribute Refixation_Ratio_AOI4 numeric
@attribute Average_Saccade_Length_AOI4 numeric
@attribute Saccade_Length_SD_AOI4 numeric
@attribute Average_Saccade_Absolute_Angle_AOI4 numeric
@attribute Saccade_Absolute_Angle_SD_AOI4 numeric
@attribute Average_Saccade_Relative_Angle_AOI4 numeric
@attribute Saccade_Relative_Angle_SD_AOI4 numeric
@attribute Average_Left_Eye_Difference_AOI4 numeric
@attribute Left_Eye_Difference_SD_AOI4 numeric
@attribute Average_Right_Eye_Difference_AOI4 numeric
@attribute Right_Eye_Difference_SD_AOI4 numeric
@attribute Blink_Count_AOI4 numeric
@attribute Average_Blink_Duration_AOI4 numeric
@attribute AOI_Language_AOI4 {Spanish,English}
@attribute Previous_AOI_Language_AOI4 {Spanish,English}
@attribute Language_Switch_AOI4 {No,Yes}
@attribute Average_Fixation_Duration_AOI5 numeric
@attribute Fixation_Duration_SD_AOI5 numeric
@attribute Longest_Fixation_Duration_AOI5 numeric
@attribute Refixation_Ratio_AOI5 numeric
@attribute Average_Saccade_Length_AOI5 numeric
@attribute Saccade_Length_SD_AOI5 numeric
@attribute Average_Saccade_Absolute_Angle_AOI5 numeric
@attribute Saccade_Absolute_Angle_SD_AOI5 numeric
@attribute Average_Saccade_Relative_Angle_AOI5 numeric
@attribute Saccade_Relative_Angle_SD_AOI5 numeric
@attribute Average_Left_Eye_Difference_AOI5 numeric
@attribute Left_Eye_Difference_SD_AOI5 numeric
@attribute Average_Right_Eye_Difference_AOI5 numeric
@attribute Right_Eye_Difference_SD_AOI5 numeric
@attribute Blink_Count_AOI5 numeric
@attribute Average_Blink_Duration_AOI5 numeric
@attribute AOI_Language_AOI5 {Spanish,English}
@attribute Previous_AOI_Language_AOI5 {English,Spanish}
@attribute Language_Switch_AOI5 {Yes,No}
@attribute Average_Fixation_Duration_AOI6 numeric
@attribute Fixation_Duration_SD_AOI6 numeric
@attribute Longest_Fixation_Duration_AOI6 numeric
@attribute Refixation_Ratio_AOI6 numeric
@attribute Average_Saccade_Length_AOI6 numeric
@attribute Saccade_Length_SD_AOI6 numeric
@attribute Average_Saccade_Absolute_Angle_AOI6 numeric
@attribute Saccade_Absolute_Angle_SD_AOI6 numeric
@attribute Average_Saccade_Relative_Angle_AOI6 numeric
@attribute Saccade_Relative_Angle_SD_AOI6 numeric
@attribute Average_Left_Eye_Difference_AOI6 numeric
@attribute Left_Eye_Difference_SD_AOI6 numeric
@attribute Average_Right_Eye_Difference_AOI6 numeric
@attribute Right_Eye_Difference_SD_AOI6 numeric
@attribute Blink_Count_AOI6 numeric
@attribute Average_Blink_Duration_AOI6 numeric
@attribute AOI_Language_AOI6 {Spanish,English}
@attribute Previous_AOI_Language_AOI6 {Spanish,English}
@attribute Language_Switch_AOI6 {No,Yes}
@attribute 'Number of English AOIs' numeric
@attribute 'CEFR Median' {High,Low}

@data
0.104688,0.047161,0.1875,0,0.092121,1644.180253,0.092121,95.00397,89.301978,60.892442,1.838901,0.83389,1.838901,0.83389,0,0,0.083333,0.058926,0.125,0,34.977138,3575.053901,34.977138,85.608363,69.1842,75.842192,2.719673,0.37796,2.719673,0.37796,0,0,Spanish,Spanish,No,0.0625,0,0.0625,0,-77.322567,0,-77.322567,0,1.692816,0,4.467948,0,4.467948,0,0,0,Spanish,Spanish,No,0.09375,0.03125,0.125,0,-10.7701,821.82194,-10.7701,99.151323,114.116707,62.100826,1.46473,0.148221,1.46473,0.148221,0,0,Spanish,Spanish,No,0.111607,0.034867,0.1875,0,-0.171752,1333.973888,-0.171752,102.178357,89.407739,58.807943,1.380485,0.496135,1.380485,0.496135,0,0,Spanish,Spanish,No,0.101563,0.069439,0.1875,0,-9.473952,56.029054,-9.473952,86.362019,82.758229,59.990764,1.925599,0.638809,1.925599,0.638809,0,0,Spanish,Spanish,No,0.117188,0.037467,0.1875,0,14.861589,363.494682,14.861589,87.603414,95.544908,46.735076,2.135696,1.390707,2.135696,1.390707,0,0,Spanish,Spanish,No,0,Low
0.149709,0.088532,0.375,0.023256,12.374427,300.21292,12.374427,96.687203,83.382195,61.139368,0.657769,0.609181,0.657769,0.609181,1,0.13493,0.160714,0.084232,0.3125,0.071429,39.968815,53.188543,39.968815,79.026645,84.207238,53.919545,0.877451,0.381203,0.877451,0.381203,0,0,Spanish,Spanish,No,0.15625,0.059839,0.25,0,93.734462,107.249215,93.734462,84.382149,111.23629,63.488869,0.184216,0.12655,0.184216,0.12655,0,0,Spanish,Spanish,No,0.171875,0.027063,0.1875,0,-4.435619,31.887805,-4.435619,108.522259,88.597121,66.644521,0.032144,0.126597,0.032144,0.126597,1,0.13493,Spanish,Spanish,No,0.133929,0.122422,0.375,0,-23.686853,609.481496,-23.686853,89.267635,62.431859,66.895444,0.289576,0.555688,0.289576,0.555688,0,0,Spanish,Spanish,No,0.1375,0.072887,0.25,0,-61.327574,90.274102,-61.327574,68.339166,106.992375,48.146679,-0.328812,0,-0.328812,0,0,0,Spanish,Spanish,No,0.133929,0.102581,0.375,0,-14.240213,105.511908,-14.240213,86.897114,58.963136,53.929779,1.551806,1.011984,1.551806,1.011984,0,0,Spanish,Spanish,No,0,Low
0.238483,0.140483,0.90625,0.153285,13.03928,125.715834,13.03928,106.647047,100.09447,55.004234,0.177701,0.317445,0.177701,0.317445,3,0.133223,0.206733,0.068562,0.32813,0.153846,12.665474,190.495087,12.665474,76.73664,95.258039,54.201603,0.474949,0.3849,0.474949,0.3849,0,0,Spanish,English,Yes,0.182944,0.088328,0.4375,0.083333,11.762321,111.367143,11.762321,103.983833,111.434658,53.44852,0.395025,0.297443,0.395025,0.297443,0,0,Spanish,Spanish,No,0.234625,0.129522,0.75,0.190476,0.634249,76.076368,0.634249,109.356199,102.00653,54.535226,0.192194,0.19388,0.192194,0.19388,0,0,Spanish,Spanish,No,0.223093,0.087122,0.48438,0.055556,13.890935,58.647059,13.890935,113.937568,87.81164,54.238609,-0.007822,0.201245,-0.007822,0.201245,2,0.13498,Spanish,Spanish,No,0.316108,0.194303,0.71875,0.230769,40.116399,49.665661,40.116399,100.721411,103.334727,49.966937,-0.194121,0.06348,-0.194121,0.06348,1,0.12971,Spanish,Spanish,No,0.44792,0.237078,0.90625,0.166667,87.98781,285.342713,87.98781,91.457895,74.963963,64.155482,-0.175062,0.089768,-0.175062,0.089768,0,0,Spanish,Spanish,No,0,Low
0.259824,0.142502,0.71875,0.1,27.126155,89.816565,27.126155,100.845878,92.900187,53.888121,0.005861,0.277815,0.005861,0.277815,0,0,0.221156,0.072735,0.34375,0.230769,28.272577,153.656678,28.272577,104.750747,82.258362,48.998719,0.397887,0.206113,0.397887,0.206113,0,0,Spanish,English,Yes,0.281253,0.058465,0.35938,0,-39.935869,26.849653,-39.935869,119.978406,64.544904,38.689459,0.058893,0.048786,0.058893,0.048786,0,0,Spanish,Spanish,No,0.194943,0.086744,0.42188,0.095238,4.043176,86.843558,4.043176,98.059413,109.493947,46.265316,0.060101,0.153096,0.060101,0.153096,0,0,Spanish,Spanish,No,0.253351,0.111143,0.57813,0,70.875998,57.060935,70.875998,64.525792,98.168912,44.769644,-0.10878,0.176277,-0.10878,0.176277,0,0,Spanish,Spanish,No,0.291669,0.166015,0.67188,0.222222,-8.021118,46.660326,-8.021118,108.314737,89.05352,60.642705,-0.273124,0.068939,-0.273124,0.068939,0,0,Spanish,Spanish,No,0.420315,0.196707,0.71875,0,64.611436,41.28422,64.611436,91.427938,76.480033,69.699323,-0.24732,0.157898,-0.24732,0.157898,0,0,Spanish,Spanish,No,0,Low
0.244846,0.136109,0.70313,0.13,15.732946,106.20851,15.732946,99.439325,94.435116,57.673256,0.154483,0.267064,0.154483,0.267064,4,0.164965,0.226956,0.113105,0.59375,0.075,14.064186,77.434149,14.064186,93.093629,101.532964,52.246475,0.542067,0.312688,0.542067,0.312688,0,0,Spanish,English,Yes,0.241074,0.076935,0.34375,0.285714,-15.973201,112.359837,-15.973201,132.764187,111.976364,48.578756,0.288897,0.203863,0.288897,0.203863,1,0.15968,Spanish,Spanish,No,0.190107,0.096915,0.375,0.166667,-17.265807,169.987016,-17.265807,59.568041,100.50698,40.514029,0.050948,0.251065,0.050948,0.251065,0,0,Spanish,Spanish,No,0.23785,0.15145,0.67188,0.166667,20.53138,62.749377,20.53138,85.780433,70.945234,59.464714,-0.08996,0.123452,-0.08996,0.123452,2,0.17188,Spanish,Spanish,No,0.276444,0.153813,0.70313,0.153846,15.549125,129.123697,15.549125,106.506624,101.535569,62.868213,-0.280487,0.151743,-0.280487,0.151743,1,0.15642,Spanish,Spanish,No,0.369793,0.191935,0.64063,0,150.764102,52.503152,150.764102,20.855694,26.12588,18.45682,-0.210113,0.098538,-0.210113,0.098538,0,0,Spanish,Spanish,No,0,Low
0.229966,0.109457,0.5625,0.070588,1.547946,123.508168,1.547946,97.650735,92.976427,54.565932,0.145131,0.37964,0.145131,0.37964,1,0.17754,0.232247,0.117712,0.45313,0.136364,-4.575064,163.215334,-4.575064,84.346472,83.419028,53.095171,0.418528,0.362787,0.418528,0.362787,0,0,Spanish,English,Yes,0.194855,0.099128,0.45313,0.058824,14.121873,35.396586,14.121873,93.41277,92.534193,47.364669,0.4641,0.491427,0.4641,0.491427,0,0,Spanish,Spanish,No,0.223562,0.076148,0.35938,0.076923,-24.757965,148.428745,-24.757965,108.35794,68.892572,48.951615,0.219328,0.156011,0.219328,0.156011,0,0,Spanish,Spanish,No,0.247769,0.112805,0.5,0,-17.983306,32.626291,-17.983306,87.507613,99.726317,63.12766,-0.068913,0.142374,-0.068913,0.142374,1,0.17754,Spanish,Spanish,No,0.24148,0.118784,0.5625,0.045455,3.913524,114.843658,3.913524,100.18632,111.359714,51.562543,-0.288203,0.216861,-0.288203,0.216861,0,0,Spanish,Spanish,No,0.29297,0.085136,0.39063,0,88.448539,69.056804,88.448539,90.972642,112.773753,64.247898,-0.233837,0.137615,-0.233837,0.137615,0,0,Spanish,Spanish,No,0,Low
0.283912,0.145805,0.67188,0.042553,28.98341,103.016371,28.98341,96.390339,103.139784,54.721872,0.052757,0.290862,0.052757,0.290862,0,0,0.187502,0.109931,0.375,0,57.892036,29.912298,57.892036,80.555733,103.953392,28.473308,0.306617,0.38874,0.306617,0.38874,0,0,Spanish,English,Yes,0.16146,0.062931,0.25,0,29.33261,12.883973,29.33261,33.188801,140.492536,18.576198,0.528687,0.485692,0.528687,0.485692,0,0,Spanish,Spanish,No,0.275393,0.095983,0.45313,0,-12.836484,157.012203,-12.836484,105.349242,104.636338,52.274962,0.368159,0.299671,0.368159,0.299671,0,0,Spanish,Spanish,No,0.31042,0.154875,0.65625,0.133333,20.602646,86.060679,20.602646,108.648253,83.549818,56.147894,0.016101,0.108067,0.016101,0.108067,0,0,Spanish,Spanish,No,0.298179,0.144261,0.54688,0,36.966474,79.415237,36.966474,77.77303,111.5515,58.053806,-0.181853,0.094744,-0.181853,0.094744,0,0,Spanish,Spanish,No,0.33438,0.171619,0.67188,0,78.541761,122.278026,78.541761,86.659355,116.26454,55.129567,-0.165953,0.057632,-0.165953,0.057632,0,0,Spanish,Spanish,No,0,Low
0.233777,0.097912,0.46875,0.076923,33.632736,137.358521,33.632736,83.22685,99.36966,59.876118,0.177325,0.289786,0.177325,0.289786,0,0,0.164065,0.052409,0.23438,0,4.775113,262.647768,4.775113,81.301474,111.632069,54.605885,0.828697,0.232372,0.828697,0.232372,0,0,Spanish,English,Yes,0.210942,0.058288,0.28125,0.166667,34.829265,36.100088,34.829265,48.088106,89.535428,63.019421,0.58879,0.36709,0.58879,0.36709,0,0,Spanish,Spanish,No,0.24148,0.100902,0.45313,0.090909,46.672963,52.222298,46.672963,78.055418,104.168205,63.194355,0.366659,0.14285,0.366659,0.14285,0,0,Spanish,Spanish,No,0.238841,0.090614,0.40625,0.071429,34.585282,145.409289,34.585282,69.155676,116.237779,51.155032,-0.037678,0.118495,-0.037678,0.118495,0,0,Spanish,Spanish,No,0.259118,0.121275,0.46875,0.083333,52.686405,92.361438,52.686405,89.502864,77.200138,58.028096,-0.087485,0.094979,-0.087485,0.094979,0,0,Spanish,Spanish,No,0.225004,0.080039,0.29688,0,-21.801432,162.420386,-21.801432,113.865568,96.780132,60.581132,-0.064981,0.252727,-0.064981,0.252727,0,0,Spanish,Spanish,No,0,Low
0.192797,0.123912,0.625,0.158192,12.902044,278.723758,12.902044,100.839861,91.539478,58.296665,-0.794127,0.428897,-0.794127,0.428897,8,0.068466,0.133929,0.099824,0.375,0.071429,33.205408,178.03391,33.205408,98.439903,106.165411,48.066664,-1.480924,0.461606,-1.480924,0.461606,3,0.107607,Spanish,Spanish,No,0.177885,0.099113,0.375,0.153846,5.152832,653.049324,5.152832,96.902432,92.916666,55.152049,-0.975365,0.487175,-0.975365,0.487175,0,0,Spanish,Spanish,No,0.20625,0.120384,0.625,0.15,10.526198,130.579811,10.526198,99.671833,87.230999,59.723421,-0.459555,0.233429,-0.459555,0.233429,1,0.03502,Spanish,Spanish,No,0.181452,0.130286,0.625,0.16129,22.284548,64.877909,22.284548,110.712811,105.069842,62.384999,-0.648016,0.165648,-0.648016,0.165648,3,0.051623,Spanish,Spanish,No,0.191176,0.096992,0.375,0.058824,-2.986049,87.562883,-2.986049,97.231544,81.435621,52.090611,-0.910626,0.159875,-0.910626,0.159875,1,0.03502,Spanish,Spanish,No,0.219828,0.152759,0.625,0.275862,14.24767,124.971288,14.24767,96.229054,83.617514,57.513085,-1.029676,0.205152,-1.029676,0.205152,0,0,Spanish,Spanish,No,0,High
0.233594,0.183351,1.375,0.16875,12.780215,95.935174,12.780215,93.502121,89.953386,57.760214,-0.271095,0.406865,-0.271095,0.406865,10,0.06108,0.1875,0.134576,0.5,0.136364,-26.156214,94.388329,-26.156214,83.433953,89.904732,58.552417,0.145975,0.132146,0.145975,0.132146,1,0.02937,Spanish,Spanish,No,0.160156,0.104743,0.375,0.09375,17.876117,88.434671,17.876117,97.116077,94.83018,56.346456,0.160132,0.135157,0.160132,0.135157,2,0.03397,Spanish,Spanish,No,0.193966,0.125371,0.625,0.206897,23.572316,106.759098,23.572316,101.111291,78.397246,47.542745,-0.121202,0.151342,-0.121202,0.151342,0,0,Spanish,Spanish,No,0.25,0.138675,0.625,0.076923,23.649036,118.18,23.649036,78.193322,95.851852,64.257141,-0.439314,0.205822,-0.439314,0.205822,1,0.12241,Spanish,Spanish,No,0.295213,0.191969,0.875,0.191489,12.390004,88.060547,12.390004,86.032629,92.69329,59.281406,-0.675641,0.129485,-0.675641,0.129485,2,0.139705,Spanish,Spanish,No,0.316176,0.309523,1.375,0.294118,27.933565,87.15996,27.933565,102.043173,88.4643,62.733244,-0.745911,0.151356,-0.745911,0.151356,4,0.027918,Spanish,Spanish,No,0,High
0.176901,0.111279,0.625,0.116959,11.087431,137.853672,11.087431,100.984262,83.375212,57.0873,-0.591397,0.505955,-0.591397,0.505955,8,0.069376,0.147727,0.089477,0.25,0,16.726575,100.852606,16.726575,132.274388,108.350977,47.404441,-0.60433,0.214326,-0.60433,0.214326,0,0,Spanish,Spanish,No,0.198113,0.120028,0.625,0.150943,9.555086,114.143937,9.555086,94.550672,82.540326,59.367137,-0.797262,0.131453,-0.797262,0.131453,5,0.035122,Spanish,Spanish,No,0.295455,0.110175,0.5,0,49.393851,147.131469,49.393851,89.017296,83.791032,54.834962,-1.096225,0.087706,-1.096225,0.087706,0,0,Spanish,Spanish,No,0.15,0.08165,0.25,0.133333,36.842985,112.271164,36.842985,87.693765,80.891773,52.374625,-0.215226,0.376497,-0.215226,0.376497,0,0,Spanish,?,Yes,0.155,0.128841,0.5,0.08,-23.101188,103.214405,-23.101188,104.016643,92.051196,65.730948,-0.57893,0.52112,-0.57893,0.52112,0,0,English,Spanish,Yes,0.155,0.128841,0.5,0.08,-23.101188,103.214405,-23.101188,104.016643,92.051196,65.730948,-0.57893,0.52112,-0.57893,0.52112,0,0,Spanish,English,Yes,0,High
0.222336,0.151421,1,0.090164,21.403967,716.284121,21.403967,91.591724,97.992563,56.228939,-1.012226,0.357722,-1.012226,0.357722,3,0.086967,0.176136,0.097257,0.375,0.045455,10.99952,190.103726,10.99952,92.129681,90.828552,55.208675,-1.267713,0.098341,-1.267713,0.098341,0,0,English,Spanish,Yes,0.148438,0.090773,0.25,0.125,38.903035,99.024808,38.903035,75.683306,98.77566,57.116534,-0.89275,0.073056,-0.89275,0.073056,1,0.0493,Spanish,English,Yes,0.158333,0.11607,0.375,0.066667,9.008827,133.895627,9.008827,112.467385,90.981595,56.151502,-0.817631,0.122807,-0.817631,0.122807,0,0,Spanish,Spanish,No,0.215909,0.107805,0.5,0.121212,23.601212,1336.837542,23.601212,90.10245,103.166468,53.847198,-0.834392,0.231582,-0.834392,0.231582,1,0.07007,Spanish,Spanish,No,0.328125,0.197024,1,0.09375,17.19227,189.293354,17.19227,83.555046,92.833777,57.054627,-0.980923,0.124317,-0.980923,0.124317,0,0,Spanish,Spanish,No,0.21875,0.136216,0.375,0,70.680234,83.967957,70.680234,104.891148,159.138948,13.790494,-1.267341,0.069995,-1.267341,0.069995,1,0.14153,Spanish,Spanish,No,0,High
0.224409,0.124841,0.875,0.125984,16.266906,125.469808,16.266906,91.689185,93.451721,55.767177,-0.239591,0.38305,-0.239591,0.38305,3,0.136973,0.24569,0.120536,0.625,0.172414,43.564258,84.689701,43.564258,86.506133,76.692797,53.834093,-0.257743,0.115355,-0.257743,0.115355,1,0.03124,Spanish,Spanish,No,0.241667,0.11607,0.5,0.066667,-12.113504,52.258543,-12.113504,99.601673,106.167925,54.303495,-0.573965,0.121685,-0.573965,0.121685,0,0,Spanish,Spanish,No,0.270833,0.123252,0.5,0,45.659016,50.843672,45.659016,93.216352,104.14052,59.133977,-0.83769,0.110512,-0.83769,0.110512,1,0.22696,Spanish,Spanish,No,0.25,0.235702,0.875,0,59.310566,87.463268,59.310566,82.754897,113.361007,62.485064,-0.9198,0.302722,-0.9198,0.302722,0,0,?,Spanish,Yes,0.193182,0.094051,0.5,0.181818,-1.191906,189.27843,-1.191906,81.708281,96.018946,52.197111,0.114231,0.120916,0.114231,0.120916,0,0,Spanish,English,Yes,0.208333,0.102062,0.375,0.111111,-2.501294,58.824809,-2.501294,94.782688,86.49942,54.282684,-0.084689,0.111795,-0.084689,0.111795,1,0.15272,Spanish,Spanish,No,0,High
0.262712,0.167064,0.875,0.152542,17.768117,162.566412,17.768117,99.228265,92.42489,51.213613,-0.669218,0.353314,-0.669218,0.353314,2,0.185025,0.145833,0.085898,0.25,0.166667,39.708387,132.311805,39.708387,65.862312,83.137533,46.093129,-0.901678,0.388504,-0.901678,0.388504,0,0,Spanish,English,Yes,0.214286,0.110079,0.375,0.285714,-17.243333,46.279367,-17.243333,114.687717,113.588496,45.23555,-0.153251,0.148423,-0.153251,0.148423,0,0,Spanish,Spanish,No,0.236111,0.181089,0.625,0,-50.034124,27.607857,-50.034124,92.382349,95.173645,50.54951,-0.538801,0.389248,-0.538801,0.389248,1,0.18355,Spanish,Spanish,No,0.289063,0.157611,0.75,0.125,29.359562,161.654149,29.359562,99.622606,91.514255,52.345482,-0.668678,0.257822,-0.668678,0.257822,0,0,Spanish,Spanish,No,0.285714,0.145072,0.75,0.285714,30.038689,62.674606,30.038689,95.75542,79.57336,57.150436,-0.784261,0.099105,-0.784261,0.099105,1,0.1865,Spanish,Spanish,No,0.339286,0.228683,0.875,0,70.112052,313.598405,70.112052,56.790459,103.472277,34.24872,-1.062496,0.069568,-1.062496,0.069568,0,0,Spanish,Spanish,No,0,High
0.323893,0.166784,0.83691,0.027778,34.060422,159.019475,34.060422,91.884661,99.336109,67.116827,-0.05245,0.361257,-0.05245,0.361257,0,0,0.388238,0.219919,0.83691,0.111111,32.003514,114.885002,32.003514,103.313027,101.237724,66.753904,0.365822,0.548466,0.365822,0.548466,0,0,Spanish,Spanish,No,0.294034,0.110679,0.46875,0,12.944187,121.313379,12.944187,56.10151,125.024146,67.789632,0.039852,0.159129,0.039852,0.159129,0,0,Spanish,Spanish,No,0.314455,0.161135,0.47559,0,80.940984,159.73753,80.940984,90.318928,95.829417,0.141351,-0.350649,0.11349,-0.350649,0.11349,0,0,Spanish,Spanish,No,0.39518,0.208338,0.68945,0,36.640783,109.826424,36.640783,131.160503,37.566529,29.771909,-0.349743,0.364615,-0.349743,0.364615,0,0,Spanish,Spanish,No,0.233399,0.105808,0.44141,0,37.973637,90.529882,37.973637,88.089857,113.027459,65.503108,-0.421748,0.229812,-0.421748,0.229812,0,0,Spanish,Spanish,No,0.370847,0.102759,0.52246,0,64.534431,273.21144,64.534431,97.25447,48.536042,45.887978,-0.321377,0.178948,-0.321377,0.178948,0,0,Spanish,Spanish,No,0,Low
0.325558,0.170922,1.30664,0.134831,19.856077,165.969533,19.856077,97.304878,102.457371,62.171233,-0.283659,0.268667,-0.283659,0.268667,1,0.13514,0.248757,0.107457,0.48828,0.090909,-41.017788,236.722936,-41.017788,90.118494,113.571439,63.040701,0.095666,0.302471,0.095666,0.302471,0,0,Spanish,Spanish,No,0.261808,0.102487,0.42188,0.181818,-44.710055,58.118111,-44.710055,73.536118,106.841639,52.188573,0.002317,0.157847,0.002317,0.157847,0,0,Spanish,Spanish,No,0.288574,0.069977,0.39551,0,54.958665,170.35634,54.958665,99.729247,94.628267,58.440408,-0.121493,0.12112,-0.121493,0.12112,0,0,Spanish,Spanish,No,0.299397,0.143282,0.61621,0,79.607002,74.355438,79.607002,75.734994,94.393348,61.446659,-0.353051,0.12085,-0.353051,0.12085,0,0,Spanish,Spanish,No,0.405527,0.231651,1.30664,0.259259,28.889735,188.157211,28.889735,96.954543,99.974059,67.910423,-0.422896,0.107193,-0.422896,0.107193,0,0,Spanish,Spanish,No,0.329482,0.131001,0.66895,0.111111,23.627976,125.548612,23.627976,84.169042,106.436652,59.131387,-0.551686,0.140593,-0.551686,0.140593,1,0.13514,Spanish,Spanish,No,0,Low
0.264082,0.119528,0.69043,0.087719,20.52028,116.750667,20.52028,96.855288,106.05706,65.262767,-0.03197,0.277638,-0.03197,0.277638,1,0.19275,0.272948,0.122831,0.46973,0,27.718915,101.431501,27.718915,58.572281,116.492142,59.770976,0.162047,0.392044,0.162047,0.392044,1,0.19275,Spanish,Spanish,No,0.265115,0.122816,0.69043,0.217391,-13.176208,119.611276,-13.176208,112.727998,96.455657,64.550205,0.109522,0.156737,0.109522,0.156737,0,0,Spanish,Spanish,No,0.197266,0.048208,0.30859,0,31.153026,28.703856,31.153026,60.290609,99.237811,68.527839,0.006696,0.125497,0.006696,0.125497,0,0,Spanish,Spanish,No,0.363525,0.110954,0.58301,0,45.492213,148.730555,45.492213,75.460187,125.208046,70.83332,-0.134741,0.138902,-0.134741,0.138902,0,0,Spanish,Spanish,No,0.173825,0.081055,0.25488,0,158.842488,189.600539,158.842488,6.677315,114.576661,52.06871,-0.696119,0.0302,-0.696119,0.0302,0,0,Spanish,Spanish,No,0.238866,0.09427,0.42285,0,46.703942,72.042886,46.703942,105.299963,107.578579,57.742994,-0.710371,0.096953,-0.710371,0.096953,0,0,Spanish,Spanish,No,0,Low
